# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0891,0.0514,378.816,0.106,9.123
1.7,0.02,0.0409,0.0891,0.0509,375.087,0.105,9.128
3.4,0.05,0.0812,0.0891,0.0513,378.070,0.106,9.123
5.1,0.07,0.1209,0.0891,0.0517,381.053,0.107,9.123
6.8,0.09,0.1596,0.0891,0.0522,384.781,0.108,9.123
8.4,0.12,0.1980,0.0891,0.0526,387.764,0.109,9.128
10.1,0.14,0.2356,0.0891,0.0531,391.492,0.110,9.128
11.8,0.16,0.2723,0.0892,0.0536,395.221,0.111,9.128
13.5,0.19,0.3083,0.0892,0.0541,398.949,0.112,9.128
15.2,0.21,0.3435,0.0891,0.0546,402.678,0.113,9.128
16.9,0.23,0.3779,0.0891,0.0551,406.406,0.114,9.123
18.5,0.26,0.4115,0.0890,0.0557,410.135,0.115,9.114
20.2,0.28,0.4440,0.0889,0.0562,413.863,0.116,9.101
21.9,0.30,0.4754,0.0887,0.0567,417.592,0.117,9.079
23.6,0.33,0.5058,0.0878,0.0569,419.083,0.118,8.990
25.3,0.35,0.5319,0.0832,0.0549,404.169,0.114,8.514
26.9,0.37,0.5563,0.0781,0.0525,387.018,0.109,7.993
28.6,0.40,0.5782,0.0728,0.0501,369.121,0.104,7.460
30.3,0.42,0.5963,0.0675,0.0476,351.225,0.099,6.908
32.0,0.44,0.6115,0.0619,0.0450,331.091,0.093,6.334
33.7,0.47,0.6241,0.0562,0.0421,310.211,0.087,5.752
35.4,0.49,0.6334,0.0504,0.0391,287.840,0.081,5.160
37.0,0.51,0.6384,0.0445,0.0359,263.978,0.074,4.555
38.7,0.54,0.6391,0.0387,0.0326,240.115,0.067,3.963
40.4,0.56,0.6296,0.0326,0.0290,214.016,0.060,3.336
42.1,0.58,0.6060,0.0263,0.0254,187.171,0.053,2.691
43.8,0.61,0.5584,0.0199,0.0217,159.580,0.045,2.037
45.5,0.63,0.4684,0.0134,0.0180,132.735,0.037,1.366
47.1,0.65,0.2997,0.0067,0.0146,108.126,0.030,0.685
48.8,0.68,-0.0041,-0.0001,0.0116,85.010,0.024,-0.009
