# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0880,0.0505,281.875,0.087,7.491
2.8,0.04,0.0717,0.0881,0.0518,289.332,0.089,7.500
5.5,0.08,0.1398,0.0883,0.0532,296.789,0.092,7.513
8.3,0.13,0.2043,0.0884,0.0546,304.991,0.094,7.522
11.0,0.17,0.2653,0.0885,0.0562,313.940,0.097,7.531
13.8,0.21,0.3227,0.0886,0.0578,322.888,0.099,7.544
16.6,0.25,0.3768,0.0888,0.0595,332.582,0.102,7.558
19.4,0.29,0.4273,0.0889,0.0613,342.276,0.105,7.566
22.1,0.34,0.4747,0.0889,0.0631,352.716,0.109,7.571
24.9,0.38,0.5190,0.0889,0.0649,362.410,0.112,7.566
27.6,0.42,0.5603,0.0888,0.0668,372.850,0.115,7.562
30.4,0.46,0.5986,0.0887,0.0686,383.290,0.118,7.549
33.2,0.51,0.6342,0.0884,0.0704,392.984,0.121,7.522
35.9,0.55,0.6672,0.0879,0.0721,402.678,0.124,7.486
38.7,0.59,0.6977,0.0873,0.0737,411.626,0.127,7.424
41.4,0.63,0.7257,0.0862,0.0750,419.083,0.129,7.335
44.2,0.67,0.7520,0.0836,0.0749,418.338,0.129,7.117
46.9,0.72,0.7772,0.0784,0.0722,402.678,0.124,6.668
49.7,0.76,0.7985,0.0725,0.0688,384.035,0.118,6.174
52.5,0.80,0.8176,0.0666,0.0651,363.902,0.112,5.667
55.3,0.84,0.8337,0.0605,0.0611,341.531,0.105,5.147
58.0,0.88,0.8466,0.0543,0.0567,316.922,0.098,4.622
60.8,0.93,0.8566,0.0480,0.0519,289.332,0.089,4.083
63.5,0.97,0.8635,0.0415,0.0466,260.249,0.080,3.532
66.3,1.01,0.8670,0.0349,0.0407,227.438,0.070,2.976
69.1,1.05,0.8645,0.0283,0.0344,192.391,0.059,2.406
71.8,1.09,0.8542,0.0214,0.0274,152.868,0.047,1.819
74.6,1.14,0.8201,0.0144,0.0200,111.109,0.034,1.223
77.3,1.18,0.7007,0.0073,0.0122,68.604,0.021,0.618
80.1,1.22,-0.0006,0.0000,0.0047,26.099,0.008,0.000
