# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1548,0.2687,3808.289,1.653,31.840
2.8,0.04,0.0246,0.1551,0.2596,3679.283,1.597,31.894
5.7,0.08,0.0511,0.1553,0.2502,3545.803,1.539,31.934
8.5,0.12,0.0798,0.1554,0.2405,3409.340,1.480,31.956
11.4,0.16,0.1110,0.1553,0.2305,3266.911,1.418,31.947
14.2,0.21,0.1451,0.1552,0.2202,3120.754,1.355,31.916
17.0,0.25,0.1826,0.1549,0.2095,2969.377,1.289,31.849
19.8,0.29,0.2237,0.1542,0.1987,2815.763,1.222,31.711
22.7,0.33,0.2686,0.1529,0.1875,2656.929,1.153,31.449
25.5,0.37,0.3176,0.1511,0.1763,2498.095,1.084,31.075
28.4,0.41,0.3696,0.1488,0.1657,2348.955,1.020,30.599
31.2,0.45,0.4250,0.1459,0.1555,2203.543,0.956,30.003
34.1,0.49,0.4818,0.1425,0.1461,2070.063,0.899,29.300
36.9,0.54,0.5412,0.1383,0.1367,1937.328,0.841,28.433
39.7,0.58,0.6003,0.1334,0.1281,1815.779,0.788,27.437
42.6,0.62,0.6579,0.1276,0.1198,1697.959,0.737,26.249
45.4,0.66,0.7104,0.1208,0.1120,1587.595,0.689,24.848
48.2,0.70,0.7537,0.1132,0.1051,1489.908,0.647,23.282
51.1,0.74,0.7876,0.1050,0.0988,1400.424,0.608,21.601
53.9,0.78,0.8143,0.0960,0.0922,1306.466,0.567,19.741
56.7,0.82,0.8345,0.0873,0.0861,1220.711,0.530,17.949
59.6,0.86,0.8527,0.0784,0.0795,1126.753,0.489,16.120
62.4,0.91,0.8685,0.0694,0.0723,1025.337,0.445,14.265
65.3,0.95,0.8821,0.0601,0.0645,914.228,0.397,12.362
68.1,0.99,0.8926,0.0506,0.0560,793.425,0.344,10.404
70.9,1.03,0.8976,0.0409,0.0468,663.673,0.288,8.403
73.8,1.07,0.8930,0.0310,0.0371,525.718,0.228,6.365
76.6,1.11,0.8705,0.0209,0.0267,378.070,0.164,4.297
79.4,1.15,0.7915,0.0106,0.0154,218.490,0.095,2.175
82.3,1.19,-0.0009,0.0000,0.0036,51.453,0.022,0.000
