# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1744,0.0876,87.993,0.084,5.934
0.8,0.03,0.0571,0.1716,0.0877,88.738,0.085,5.836
1.7,0.06,0.1120,0.1687,0.0878,88.738,0.085,5.738
2.6,0.09,0.1649,0.1654,0.0877,88.738,0.085,5.627
3.4,0.12,0.2157,0.1618,0.0875,87.993,0.084,5.507
4.3,0.15,0.2644,0.1580,0.0872,87.993,0.084,5.378
5.2,0.18,0.3112,0.1541,0.0867,87.247,0.083,5.240
6.0,0.20,0.3555,0.1496,0.0859,86.501,0.083,5.089
6.9,0.23,0.3978,0.1448,0.0849,85.755,0.082,4.924
7.8,0.26,0.4378,0.1396,0.0837,84.264,0.081,4.751
8.6,0.29,0.4758,0.1344,0.0824,82.773,0.079,4.573
9.5,0.32,0.5110,0.1286,0.0807,81.281,0.078,4.377
10.4,0.35,0.5446,0.1229,0.0790,79.790,0.076,4.181
11.2,0.38,0.5756,0.1168,0.0769,77.553,0.074,3.972
12.1,0.41,0.6047,0.1107,0.0748,75.316,0.072,3.768
13.0,0.44,0.6315,0.1044,0.0723,73.079,0.070,3.550
13.8,0.47,0.6561,0.0979,0.0697,70.096,0.067,3.332
14.7,0.50,0.6785,0.0912,0.0667,67.113,0.064,3.105
15.6,0.53,0.6990,0.0843,0.0633,64.130,0.061,2.869
16.4,0.55,0.7153,0.0772,0.0598,60.402,0.058,2.624
17.3,0.58,0.7277,0.0701,0.0562,56.673,0.054,2.384
18.1,0.61,0.7377,0.0627,0.0520,52.199,0.050,2.131
19.0,0.64,0.7427,0.0553,0.0478,48.470,0.046,1.882
19.9,0.67,0.7409,0.0477,0.0432,43.251,0.042,1.624
20.7,0.70,0.7285,0.0401,0.0385,38.776,0.037,1.366
21.6,0.73,0.6978,0.0323,0.0338,34.302,0.033,1.099
22.5,0.76,0.6418,0.0245,0.0289,29.082,0.028,0.832
23.3,0.79,0.5411,0.0165,0.0241,24.608,0.023,0.560
24.2,0.82,0.3560,0.0085,0.0194,19.388,0.019,0.289
25.1,0.85,-0.0034,-0.0001,0.0150,14.914,0.014,0.000
