# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1302,0.0610,31.319,0.038,2.834
0.7,0.03,0.0618,0.1293,0.0618,32.065,0.038,2.816
1.4,0.06,0.1211,0.1283,0.0626,32.065,0.039,2.793
2.1,0.09,0.1778,0.1270,0.0633,32.811,0.039,2.767
2.8,0.12,0.2320,0.1254,0.0639,32.811,0.039,2.731
3.5,0.15,0.2836,0.1236,0.0644,33.556,0.040,2.691
4.2,0.18,0.3326,0.1215,0.0648,33.556,0.040,2.647
4.9,0.21,0.3789,0.1190,0.0650,33.556,0.040,2.593
5.6,0.24,0.4226,0.1162,0.0650,33.556,0.040,2.531
6.3,0.27,0.4635,0.1129,0.0648,33.556,0.040,2.460
7.0,0.30,0.5015,0.1093,0.0644,33.556,0.040,2.380
7.7,0.33,0.5365,0.1052,0.0637,32.811,0.039,2.291
8.4,0.35,0.5683,0.1007,0.0628,32.811,0.039,2.193
9.1,0.38,0.5970,0.0960,0.0618,32.065,0.038,2.091
9.8,0.41,0.6224,0.0912,0.0606,31.319,0.037,1.988
10.5,0.44,0.6448,0.0863,0.0593,30.574,0.036,1.877
11.2,0.47,0.6644,0.0810,0.0577,29.828,0.035,1.766
11.9,0.50,0.6812,0.0754,0.0556,28.337,0.034,1.641
12.6,0.53,0.6952,0.0696,0.0533,27.591,0.033,1.517
13.3,0.56,0.7066,0.0637,0.0506,26.099,0.031,1.388
14.0,0.59,0.7158,0.0575,0.0475,24.608,0.029,1.254
14.7,0.62,0.7224,0.0513,0.0441,23.117,0.027,1.117
15.4,0.65,0.7256,0.0449,0.0403,20.880,0.025,0.979
16.1,0.68,0.7234,0.0384,0.0361,18.642,0.022,0.836
16.8,0.71,0.7107,0.0317,0.0316,16.405,0.019,0.689
17.5,0.74,0.6809,0.0252,0.0273,14.168,0.017,0.547
18.2,0.77,0.6243,0.0190,0.0234,11.931,0.014,0.414
18.9,0.80,0.5200,0.0127,0.0195,10.440,0.012,0.276
19.6,0.83,0.3319,0.0063,0.0158,8.203,0.010,0.138
20.3,0.86,-0.0028,0.0000,0.0126,6.711,0.008,0.000
