# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2073,0.1395,48.470,0.066,3.456
0.9,0.04,0.0644,0.2071,0.1426,49.216,0.067,3.452
1.8,0.09,0.1259,0.2069,0.1458,50.708,0.069,3.447
2.8,0.13,0.1843,0.2067,0.1492,51.453,0.070,3.447
3.7,0.18,0.2398,0.2064,0.1527,52.945,0.072,3.443
4.6,0.22,0.2923,0.2060,0.1563,53.690,0.074,3.434
5.5,0.27,0.3419,0.2056,0.1600,55.182,0.075,3.425
6.4,0.31,0.3887,0.2049,0.1636,56.673,0.077,3.416
7.4,0.35,0.4325,0.2039,0.1672,58.165,0.079,3.398
8.3,0.40,0.4737,0.2025,0.1706,58.910,0.080,3.376
9.2,0.44,0.5121,0.2006,0.1737,60.402,0.082,3.345
10.1,0.49,0.5481,0.1978,0.1760,61.147,0.083,3.296
11.0,0.53,0.5819,0.1937,0.1771,61.147,0.084,3.229
12.0,0.58,0.6142,0.1868,0.1754,60.402,0.083,3.114
12.9,0.62,0.6451,0.1774,0.1707,58.910,0.081,2.958
13.8,0.67,0.6728,0.1677,0.1658,57.419,0.078,2.793
14.7,0.71,0.6976,0.1578,0.1605,55.182,0.076,2.629
15.6,0.75,0.7197,0.1476,0.1546,53.690,0.073,2.460
16.5,0.80,0.7386,0.1370,0.1481,51.453,0.070,2.286
17.5,0.84,0.7537,0.1263,0.1412,48.470,0.067,2.104
18.4,0.89,0.7648,0.1152,0.1336,46.233,0.063,1.922
19.3,0.93,0.7713,0.1035,0.1250,43.251,0.059,1.726
20.3,0.98,0.7717,0.0915,0.1157,40.268,0.055,1.526
21.1,1.02,0.7637,0.0792,0.1057,36.539,0.050,1.321
22.1,1.06,0.7442,0.0663,0.0948,32.811,0.045,1.103
23.0,1.11,0.7075,0.0530,0.0831,29.082,0.039,0.885
23.9,1.15,0.6431,0.0396,0.0710,24.608,0.034,0.658
24.9,1.20,0.5337,0.0263,0.0590,20.134,0.028,0.436
25.7,1.24,0.3445,0.0131,0.0472,16.405,0.022,0.218
26.7,1.29,-0.0008,0.0000,0.0360,12.677,0.017,0.000
