# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0859,0.0524,20.134,0.039,1.784
0.8,0.05,0.0734,0.0861,0.0536,20.880,0.039,1.788
1.7,0.09,0.1436,0.0863,0.0549,20.880,0.040,1.793
2.5,0.14,0.2105,0.0865,0.0564,21.625,0.041,1.797
3.4,0.18,0.2741,0.0868,0.0579,22.371,0.042,1.802
4.2,0.23,0.3342,0.0870,0.0595,23.117,0.044,1.806
5.1,0.27,0.3909,0.0872,0.0612,23.862,0.045,1.810
5.9,0.32,0.4442,0.0875,0.0630,23.862,0.046,1.815
6.8,0.37,0.4941,0.0877,0.0649,24.608,0.048,1.819
7.6,0.41,0.5407,0.0879,0.0669,25.354,0.049,1.824
8.4,0.46,0.5841,0.0881,0.0689,26.845,0.051,1.828
9.3,0.50,0.6243,0.0882,0.0710,27.591,0.052,1.833
10.1,0.55,0.6615,0.0883,0.0732,28.337,0.054,1.833
11.0,0.59,0.6957,0.0882,0.0753,29.082,0.055,1.833
11.8,0.64,0.7268,0.0875,0.0770,29.828,0.057,1.815
12.7,0.69,0.7551,0.0861,0.0782,29.828,0.057,1.788
13.5,0.73,0.7805,0.0841,0.0788,30.574,0.058,1.748
14.4,0.78,0.8033,0.0814,0.0787,30.574,0.058,1.690
15.2,0.82,0.8232,0.0776,0.0776,29.828,0.057,1.610
16.1,0.87,0.8405,0.0725,0.0749,29.082,0.055,1.503
16.9,0.91,0.8548,0.0657,0.0702,26.845,0.052,1.366
17.8,0.96,0.8648,0.0588,0.0652,25.354,0.048,1.219
18.6,1.01,0.8684,0.0518,0.0600,23.117,0.044,1.076
19.5,1.05,0.8603,0.0448,0.0547,20.880,0.040,0.930
20.3,1.10,0.8387,0.0376,0.0492,18.642,0.036,0.778
21.1,1.14,0.8002,0.0303,0.0433,16.405,0.032,0.627
22.0,1.19,0.7363,0.0229,0.0370,14.168,0.027,0.476
22.8,1.23,0.6268,0.0154,0.0302,11.931,0.022,0.320
23.7,1.28,0.4234,0.0077,0.0233,8.948,0.017,0.160
24.5,1.33,0.0075,0.0001,0.0162,5.966,0.012,0.000
