# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0620,0.0282,865.012,0.330,22.508
1.5,0.02,0.0387,0.0620,0.0279,856.063,0.327,22.508
3.0,0.03,0.0784,0.0620,0.0276,846.369,0.323,22.504
4.4,0.05,0.1285,0.0621,0.0252,775.528,0.296,22.535
5.9,0.07,0.1660,0.0620,0.0260,799.390,0.305,22.508
7.4,0.09,0.2043,0.0620,0.0264,810.576,0.310,22.486
8.9,0.10,0.2460,0.0619,0.0263,807.593,0.308,22.464
10.3,0.12,0.2855,0.0618,0.0264,809.830,0.309,22.423
11.8,0.14,0.3253,0.0616,0.0264,809.830,0.309,22.357
13.3,0.16,0.3616,0.0610,0.0264,811.321,0.310,22.130
14.8,0.17,0.3951,0.0600,0.0264,812.067,0.310,21.774
16.2,0.19,0.4240,0.0586,0.0264,812.067,0.310,21.240
17.7,0.21,0.4563,0.0568,0.0260,799.390,0.305,20.618
19.2,0.23,0.4885,0.0548,0.0254,780.002,0.298,19.884
20.7,0.24,0.5126,0.0525,0.0250,766.579,0.293,19.056
22.1,0.26,0.5407,0.0500,0.0242,741.971,0.283,18.153
23.6,0.28,0.5628,0.0473,0.0234,718.855,0.275,17.152
25.0,0.30,0.5841,0.0442,0.0224,688.281,0.263,16.045
26.5,0.31,0.6025,0.0409,0.0213,653.979,0.250,14.848
28.0,0.33,0.6174,0.0375,0.0201,617.439,0.236,13.616
29.5,0.35,0.6290,0.0341,0.0188,578.663,0.221,12.353
30.9,0.37,0.6371,0.0305,0.0175,537.650,0.205,11.067
32.4,0.38,0.6408,0.0269,0.0161,493.653,0.189,9.755
33.9,0.40,0.6385,0.0232,0.0146,447.420,0.171,8.425
35.4,0.42,0.6276,0.0195,0.0130,398.949,0.152,7.082
36.8,0.44,0.6031,0.0158,0.0114,348.988,0.133,5.720
38.3,0.45,0.5551,0.0119,0.0097,299.026,0.114,4.328
39.8,0.47,0.4695,0.0080,0.0080,246.827,0.094,2.914
41.3,0.49,0.3153,0.0041,0.0063,192.391,0.074,1.472
42.7,0.50,-0.0006,0.0000,0.0044,135.717,0.052,0.000
