# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1282,0.0807,1263.961,0.805,33.295
1.6,0.03,0.0433,0.1272,0.0769,1204.305,0.767,33.032
3.2,0.05,0.0903,0.1260,0.0730,1143.158,0.728,32.712
4.7,0.08,0.1408,0.1246,0.0694,1087.230,0.692,32.343
6.3,0.10,0.1953,0.1228,0.0658,1030.557,0.656,31.903
7.9,0.13,0.2532,0.1208,0.0624,976.867,0.622,31.356
9.5,0.16,0.3126,0.1177,0.0591,926.159,0.590,30.577
11.0,0.18,0.3725,0.1141,0.0561,878.434,0.559,29.621
12.6,0.21,0.4280,0.1100,0.0538,842.641,0.536,28.571
14.2,0.24,0.4731,0.1058,0.0527,824.744,0.525,27.481
15.8,0.26,0.5131,0.1016,0.0518,811.321,0.517,26.396
17.3,0.29,0.5505,0.0973,0.0509,797.153,0.507,25.279
19.0,0.31,0.5858,0.0929,0.0498,779.256,0.496,24.123
20.5,0.34,0.6188,0.0883,0.0485,759.868,0.484,22.931
22.1,0.37,0.6493,0.0836,0.0471,738.243,0.470,21.707
23.6,0.39,0.6776,0.0787,0.0456,713.635,0.455,20.440
25.3,0.42,0.7037,0.0737,0.0438,686.790,0.437,19.141
26.8,0.44,0.7273,0.0686,0.0419,656.962,0.418,17.811
28.4,0.47,0.7483,0.0634,0.0399,624.151,0.397,16.454
30.0,0.50,0.7664,0.0580,0.0376,589.103,0.375,15.062
31.6,0.52,0.7811,0.0526,0.0352,551.072,0.351,13.647
33.1,0.55,0.7915,0.0470,0.0326,511.550,0.326,12.215
34.7,0.58,0.7964,0.0414,0.0299,469.045,0.299,10.760
36.3,0.60,0.7944,0.0357,0.0271,424.303,0.270,9.283
37.9,0.63,0.7819,0.0300,0.0241,376.578,0.240,7.780
39.4,0.65,0.7513,0.0241,0.0210,328.854,0.209,6.259
41.0,0.68,0.6906,0.0182,0.0179,280.383,0.178,4.715
42.6,0.71,0.5798,0.0122,0.0148,231.913,0.148,3.158
44.2,0.73,0.3796,0.0061,0.0118,184.934,0.118,1.588
45.8,0.76,-0.0033,0.0000,0.0088,138.700,0.088,-0.009
