# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1358,0.0532,1293.044,0.650,45.563
1.8,0.03,0.0637,0.1340,0.0539,1310.195,0.659,44.985
3.7,0.05,0.1240,0.1320,0.0545,1325.109,0.666,44.304
5.5,0.08,0.1811,0.1296,0.0550,1336.294,0.672,43.508
7.4,0.10,0.2353,0.1269,0.0553,1343.005,0.675,42.587
9.3,0.13,0.2865,0.1238,0.0554,1345.243,0.676,41.564
11.1,0.15,0.3350,0.1205,0.0553,1343.005,0.675,40.439
13.0,0.18,0.3809,0.1168,0.0550,1336.294,0.672,39.211
14.8,0.20,0.4242,0.1128,0.0545,1324.363,0.666,37.872
16.7,0.23,0.4649,0.1087,0.0539,1309.449,0.658,36.467
18.6,0.26,0.5032,0.1043,0.0531,1290.806,0.649,35.021
20.4,0.28,0.5390,0.0999,0.0522,1269.181,0.638,33.531
22.3,0.31,0.5726,0.0953,0.0512,1243.827,0.625,31.992
24.1,0.33,0.6042,0.0906,0.0499,1213.254,0.610,30.417
26.0,0.36,0.6332,0.0858,0.0486,1181.189,0.594,28.807
27.8,0.38,0.6596,0.0810,0.0472,1146.141,0.576,27.170
29.7,0.41,0.6845,0.0760,0.0455,1105.127,0.556,25.502
31.5,0.44,0.7058,0.0709,0.0437,1061.877,0.534,23.780
33.4,0.46,0.7244,0.0656,0.0418,1014.898,0.510,22.023
35.2,0.49,0.7402,0.0602,0.0396,962.699,0.484,20.222
37.1,0.51,0.7526,0.0547,0.0373,905.280,0.455,18.371
38.9,0.54,0.7608,0.0491,0.0347,843.387,0.424,16.485
40.8,0.56,0.7629,0.0434,0.0321,778.511,0.391,14.563
42.6,0.59,0.7564,0.0375,0.0292,709.906,0.357,12.584
44.5,0.61,0.7384,0.0315,0.0262,636.828,0.320,10.569
46.4,0.64,0.7030,0.0254,0.0231,562.258,0.282,8.523
48.2,0.67,0.6413,0.0193,0.0200,486.942,0.245,6.472
50.1,0.69,0.5310,0.0130,0.0169,410.881,0.207,4.359
51.9,0.72,0.3343,0.0065,0.0140,339.293,0.171,2.184
53.8,0.74,-0.0113,-0.0002,0.0109,263.978,0.133,-0.053
