# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1146,0.0435,133.480,0.160,10.395
0.8,0.02,0.0596,0.1126,0.0439,134.972,0.161,10.213
1.6,0.05,0.1161,0.1105,0.0441,135.717,0.162,10.017
2.4,0.07,0.1697,0.1081,0.0443,136.463,0.163,9.808
3.1,0.09,0.2206,0.1056,0.0444,136.463,0.163,9.581
3.9,0.12,0.2687,0.1030,0.0444,136.463,0.163,9.337
4.7,0.14,0.3143,0.1001,0.0443,136.463,0.163,9.079
5.5,0.16,0.3575,0.0971,0.0441,135.717,0.162,8.807
6.3,0.19,0.3985,0.0939,0.0437,134.226,0.160,8.514
7.1,0.21,0.4372,0.0905,0.0432,132.735,0.158,8.207
7.9,0.23,0.4729,0.0870,0.0427,131.243,0.156,7.891
8.6,0.26,0.5058,0.0834,0.0421,129.006,0.154,7.562
9.4,0.28,0.5362,0.0797,0.0414,126.769,0.152,7.224
10.2,0.30,0.5639,0.0758,0.0406,124.532,0.149,6.877
11.0,0.32,0.5891,0.0719,0.0396,121.549,0.145,6.521
11.8,0.35,0.6118,0.0678,0.0386,118.566,0.141,6.152
12.6,0.37,0.6319,0.0637,0.0374,114.838,0.137,5.778
13.4,0.39,0.6494,0.0595,0.0361,111.109,0.132,5.391
14.1,0.42,0.6640,0.0551,0.0346,106.635,0.127,4.995
14.9,0.44,0.6790,0.0507,0.0329,101.415,0.121,4.595
15.7,0.46,0.6861,0.0461,0.0312,95.450,0.114,4.181
16.5,0.49,0.6888,0.0414,0.0293,90.230,0.107,3.754
17.3,0.51,0.6858,0.0366,0.0272,83.518,0.100,3.314
18.1,0.53,0.6750,0.0316,0.0250,76.807,0.092,2.869
18.9,0.56,0.6532,0.0266,0.0227,69.350,0.083,2.411
19.6,0.58,0.6159,0.0214,0.0202,61.893,0.074,1.944
20.4,0.60,0.5553,0.0162,0.0176,53.690,0.065,1.468
21.2,0.63,0.4565,0.0109,0.0149,45.488,0.055,0.983
22.0,0.65,0.2900,0.0054,0.0122,37.285,0.045,0.494
22.8,0.67,-0.0017,0.0000,0.0095,29.082,0.035,0.000
