# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1280,0.1262,4415.289,2.343,58.761
2.1,0.03,0.0291,0.1276,0.1193,4172.936,2.214,58.565
4.2,0.05,0.0616,0.1270,0.1122,3925.364,2.082,58.325
6.2,0.08,0.0983,0.1264,0.1050,3672.572,1.949,58.027
8.3,0.11,0.1400,0.1256,0.0976,3416.051,1.812,57.667
10.4,0.14,0.1877,0.1246,0.0903,3160.276,1.677,57.222
12.4,0.16,0.2429,0.1234,0.0829,2901.518,1.539,56.648
14.5,0.19,0.3019,0.1205,0.0761,2660.657,1.412,55.331
16.6,0.22,0.3674,0.1170,0.0693,2425.762,1.287,53.726
18.6,0.24,0.4284,0.1133,0.0648,2265.436,1.202,52.000
20.7,0.27,0.4811,0.1093,0.0618,2162.530,1.147,50.171
22.8,0.30,0.5301,0.1050,0.0593,2074.537,1.100,48.205
24.9,0.33,0.5757,0.1005,0.0570,1993.256,1.058,46.119
27.0,0.35,0.6175,0.0956,0.0548,1916.449,1.017,43.908
29.0,0.38,0.6549,0.0906,0.0527,1843.370,0.978,41.591
31.1,0.41,0.6876,0.0854,0.0507,1773.274,0.941,39.207
33.2,0.44,0.7163,0.0801,0.0487,1702.433,0.903,36.756
35.3,0.46,0.7422,0.0747,0.0466,1629.354,0.864,34.296
37.3,0.49,0.7661,0.0692,0.0443,1548.073,0.821,31.778
39.4,0.52,0.7880,0.0636,0.0417,1460.080,0.775,29.203
41.5,0.54,0.8078,0.0578,0.0390,1363.139,0.723,26.556
43.5,0.57,0.8249,0.0519,0.0360,1258.741,0.668,23.847
45.6,0.60,0.8387,0.0459,0.0328,1146.141,0.608,21.071
47.7,0.63,0.8490,0.0397,0.0292,1023.100,0.543,18.215
49.8,0.65,0.8545,0.0334,0.0255,892.603,0.473,15.320
51.9,0.68,0.8506,0.0270,0.0216,755.394,0.401,12.397
53.9,0.71,0.8300,0.0204,0.0174,609.237,0.323,9.381
56.0,0.73,0.7788,0.0137,0.0129,452.640,0.240,6.299
58.1,0.76,0.6323,0.0068,0.0083,288.586,0.153,3.145
60.1,0.79,-0.0071,0.0000,0.0037,130.497,0.069,-0.013
