# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1570,0.0853,32.811,0.078,3.559
0.6,0.03,0.0628,0.1568,0.0870,33.556,0.080,3.554
1.2,0.07,0.1229,0.1565,0.0887,34.302,0.081,3.550
1.8,0.10,0.1803,0.1560,0.0904,35.048,0.083,3.536
2.4,0.14,0.2350,0.1552,0.0920,35.048,0.084,3.519
3.0,0.17,0.2869,0.1542,0.0935,35.794,0.086,3.496
3.5,0.21,0.3364,0.1526,0.0948,36.539,0.087,3.461
4.1,0.24,0.3833,0.1506,0.0958,36.539,0.088,3.416
4.7,0.28,0.4278,0.1481,0.0964,37.285,0.088,3.358
5.3,0.31,0.4696,0.1450,0.0968,37.285,0.089,3.287
5.9,0.35,0.5089,0.1414,0.0968,37.285,0.089,3.207
6.5,0.38,0.5455,0.1372,0.0964,37.285,0.088,3.109
7.1,0.42,0.5795,0.1323,0.0954,36.539,0.087,2.998
7.6,0.45,0.6108,0.1264,0.0936,35.794,0.086,2.865
8.3,0.49,0.6391,0.1203,0.0918,35.048,0.084,2.727
8.9,0.52,0.6646,0.1141,0.0896,34.302,0.082,2.584
9.4,0.56,0.6874,0.1076,0.0872,33.556,0.080,2.438
10.0,0.59,0.7074,0.1008,0.0844,32.065,0.077,2.286
10.6,0.63,0.7247,0.0939,0.0812,31.319,0.074,2.131
11.2,0.66,0.7389,0.0868,0.0777,29.828,0.071,1.966
11.8,0.70,0.7502,0.0793,0.0736,28.337,0.067,1.797
12.4,0.73,0.7586,0.0713,0.0687,26.099,0.063,1.615
13.0,0.77,0.7633,0.0631,0.0633,24.608,0.058,1.432
13.5,0.80,0.7629,0.0547,0.0575,22.371,0.053,1.241
14.2,0.84,0.7557,0.0460,0.0509,19.388,0.047,1.045
14.8,0.87,0.7374,0.0370,0.0437,17.151,0.040,0.841
15.3,0.91,0.6982,0.0279,0.0362,14.168,0.033,0.632
15.9,0.94,0.6170,0.0186,0.0284,11.185,0.026,0.423
16.5,0.97,0.4410,0.0093,0.0207,8.203,0.019,0.214
17.1,1.01,-0.0010,0.0000,0.0133,5.220,0.012,0.000
