# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1211,0.0485,239.370,0.286,16.076
0.8,0.02,0.0556,0.1184,0.0480,237.133,0.283,15.720
1.7,0.05,0.1096,0.1156,0.0475,234.895,0.280,15.351
2.5,0.07,0.1619,0.1127,0.0470,232.658,0.278,14.964
3.4,0.09,0.2123,0.1096,0.0465,229.676,0.275,14.559
4.2,0.11,0.2604,0.1063,0.0459,227.438,0.271,14.114
5.1,0.14,0.3066,0.1030,0.0453,224.456,0.268,13.669
5.9,0.16,0.3505,0.0994,0.0447,220.727,0.264,13.202
6.7,0.18,0.3923,0.0958,0.0440,217.744,0.260,12.722
7.6,0.20,0.4318,0.0921,0.0432,214.016,0.255,12.224
8.4,0.23,0.4690,0.0882,0.0423,209.542,0.250,11.712
9.2,0.25,0.5042,0.0843,0.0414,204.322,0.244,11.187
10.1,0.27,0.5370,0.0803,0.0404,199.848,0.238,10.658
10.9,0.29,0.5677,0.0762,0.0393,194.628,0.232,10.120
11.8,0.32,0.5963,0.0721,0.0381,188.662,0.225,9.568
12.6,0.34,0.6212,0.0675,0.0367,181.205,0.216,8.954
13.4,0.36,0.6442,0.0631,0.0353,174.494,0.208,8.385
14.3,0.38,0.6647,0.0587,0.0338,167.037,0.200,7.793
15.1,0.41,0.6826,0.0542,0.0322,158.834,0.190,7.193
15.9,0.43,0.6991,0.0499,0.0305,150.631,0.180,6.623
16.8,0.45,0.7104,0.0453,0.0287,141.683,0.169,6.014
17.6,0.47,0.7156,0.0406,0.0268,132.735,0.158,5.387
18.5,0.50,0.7136,0.0357,0.0248,122.295,0.146,4.742
19.3,0.52,0.7017,0.0310,0.0228,113.346,0.135,4.110
20.1,0.54,0.6750,0.0260,0.0208,102.907,0.123,3.452
21.0,0.56,0.6278,0.0209,0.0187,92.467,0.110,2.771
21.8,0.59,0.5535,0.0158,0.0167,82.773,0.099,2.095
22.6,0.61,0.4343,0.0106,0.0148,73.079,0.087,1.401
23.5,0.63,0.2616,0.0054,0.0130,64.130,0.077,0.716
24.3,0.65,0.0046,0.0001,0.0112,55.182,0.066,0.009
