# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1190,0.0649,2129.719,1.564,59.108
1.6,0.02,0.0457,0.1177,0.0623,2042.472,1.500,58.450
3.2,0.05,0.0941,0.1162,0.0597,1958.208,1.438,57.707
4.8,0.07,0.1451,0.1145,0.0572,1876.927,1.379,56.848
6.4,0.10,0.1984,0.1125,0.0549,1798.628,1.321,55.865
8.0,0.12,0.2534,0.1102,0.0526,1724.804,1.267,54.744
9.6,0.15,0.3089,0.1076,0.0505,1656.199,1.217,53.414
11.2,0.17,0.3639,0.1045,0.0486,1594.306,1.171,51.906
12.8,0.19,0.4164,0.1012,0.0470,1542.107,1.133,50.265
14.3,0.22,0.4644,0.0977,0.0458,1501.094,1.103,48.512
16.0,0.24,0.5084,0.0940,0.0447,1466.046,1.077,46.662
17.6,0.27,0.5486,0.0901,0.0437,1431.744,1.052,44.727
19.2,0.29,0.5856,0.0860,0.0426,1397.442,1.026,42.707
20.7,0.31,0.6196,0.0818,0.0415,1360.902,1.000,40.617
22.4,0.34,0.6508,0.0775,0.0403,1322.126,0.971,38.490
24.0,0.36,0.6799,0.0731,0.0390,1278.875,0.940,36.306
25.6,0.39,0.7068,0.0686,0.0376,1231.150,0.905,34.064
27.1,0.41,0.7315,0.0640,0.0360,1178.951,0.866,31.774
28.7,0.44,0.7541,0.0593,0.0342,1121.533,0.824,29.425
30.4,0.46,0.7742,0.0544,0.0323,1058.894,0.778,27.023
31.9,0.48,0.7916,0.0495,0.0302,991.035,0.728,24.559
33.5,0.51,0.8057,0.0443,0.0279,916.465,0.673,22.023
35.1,0.53,0.8159,0.0392,0.0255,837.421,0.615,19.457
36.7,0.56,0.8208,0.0339,0.0230,753.157,0.553,16.832
38.3,0.58,0.8182,0.0285,0.0202,663.673,0.487,14.163
39.9,0.60,0.8027,0.0230,0.0173,566.732,0.416,11.396
41.5,0.63,0.7631,0.0173,0.0143,468.300,0.344,8.612
43.1,0.65,0.6759,0.0116,0.0112,368.376,0.270,5.774
44.7,0.68,0.4816,0.0058,0.0082,267.706,0.197,2.887
46.3,0.70,0.0000,0.0000,0.0052,171.511,0.126,0.000
