# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1402,0.0666,4880.606,2.742,119.017
2.3,0.03,0.0545,0.1402,0.0680,4984.258,2.800,119.079
4.6,0.05,0.1067,0.1403,0.0695,5093.130,2.861,119.141
6.8,0.08,0.1449,0.1407,0.0769,5642.711,3.169,119.497
9.1,0.11,0.1904,0.1408,0.0781,5727.721,3.217,119.537
11.4,0.13,0.2344,0.1408,0.0793,5814.222,3.266,119.519
13.7,0.16,0.2771,0.1398,0.0799,5861.947,3.293,118.714
16.0,0.18,0.3183,0.1380,0.0801,5877.606,3.301,117.202
18.2,0.21,0.3582,0.1357,0.0800,5870.149,3.297,115.253
20.5,0.24,0.3973,0.1330,0.0796,5835.847,3.278,112.976
22.8,0.26,0.4380,0.1299,0.0783,5742.635,3.226,110.303
25.1,0.29,0.4784,0.1263,0.0767,5621.831,3.158,107.215
27.4,0.32,0.5174,0.1219,0.0746,5473.437,3.075,103.492
29.6,0.34,0.5538,0.1163,0.0721,5286.266,2.969,98.746
31.9,0.37,0.5890,0.1102,0.0691,5070.759,2.848,93.546
34.2,0.40,0.6242,0.1041,0.0661,4855.252,2.727,88.346
36.5,0.42,0.6555,0.0969,0.0625,4580.089,2.573,82.274
38.8,0.45,0.6844,0.0902,0.0591,4336.990,2.436,76.567
41.0,0.48,0.7101,0.0835,0.0559,4097.621,2.302,70.874
43.3,0.50,0.7339,0.0767,0.0524,3843.337,2.159,65.104
45.6,0.53,0.7560,0.0697,0.0487,3571.902,2.006,59.201
47.9,0.55,0.7761,0.0626,0.0447,3280.334,1.843,53.165
50.2,0.58,0.7936,0.0553,0.0405,2970.123,1.668,46.982
52.4,0.61,0.8083,0.0479,0.0360,2637.540,1.482,40.652
54.7,0.63,0.8115,0.0403,0.0315,2309.433,1.297,34.247
57.0,0.66,0.7965,0.0328,0.0271,1991.019,1.118,27.815
59.3,0.69,0.7560,0.0249,0.0226,1660.674,0.933,21.174
61.6,0.71,0.6738,0.0170,0.0179,1315.415,0.739,14.394
63.8,0.74,0.4940,0.0087,0.0130,952.259,0.535,7.366
66.1,0.77,-0.0026,0.0000,0.0081,590.594,0.332,-0.022
