# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1011,0.0441,480.231,0.509,24.065
1.1,0.02,0.0558,0.0998,0.0432,469.791,0.498,23.762
2.2,0.05,0.1120,0.0984,0.0423,460.843,0.489,23.415
3.3,0.07,0.1679,0.0968,0.0417,453.386,0.481,23.028
4.4,0.10,0.2229,0.0949,0.0411,446.674,0.474,22.597
5.5,0.12,0.2765,0.0930,0.0405,441.454,0.468,22.130
6.6,0.14,0.3284,0.0908,0.0400,435.489,0.462,21.618
7.7,0.17,0.3783,0.0885,0.0395,429.523,0.456,21.062
8.8,0.19,0.4262,0.0860,0.0389,423.558,0.449,20.462
9.9,0.22,0.4714,0.0833,0.0383,416.846,0.442,19.817
11.0,0.24,0.5140,0.0804,0.0377,410.135,0.435,19.132
12.1,0.27,0.5535,0.0773,0.0370,402.678,0.428,18.402
13.2,0.29,0.5900,0.0741,0.0363,395.221,0.419,17.624
14.3,0.31,0.6234,0.0706,0.0355,386.273,0.410,16.805
15.4,0.34,0.6537,0.0670,0.0346,376.578,0.399,15.942
16.5,0.36,0.6807,0.0632,0.0336,365.393,0.388,15.044
17.6,0.39,0.7048,0.0593,0.0324,352.716,0.375,14.110
18.7,0.41,0.7265,0.0553,0.0312,339.293,0.360,13.158
19.8,0.43,0.7459,0.0512,0.0298,324.379,0.344,12.184
20.9,0.46,0.7627,0.0470,0.0282,307.228,0.326,11.183
22.0,0.48,0.7753,0.0427,0.0266,289.332,0.307,10.164
23.2,0.51,0.7848,0.0383,0.0247,269.198,0.286,9.123
24.2,0.53,0.7909,0.0339,0.0227,246.827,0.262,8.065
25.3,0.55,0.7933,0.0293,0.0205,222.964,0.236,6.975
26.5,0.58,0.7878,0.0246,0.0181,196.865,0.209,5.863
27.5,0.60,0.7704,0.0199,0.0156,169.274,0.180,4.733
28.7,0.63,0.7350,0.0150,0.0128,139.446,0.148,3.572
29.8,0.65,0.6658,0.0101,0.0099,107.381,0.114,2.398
30.8,0.67,0.5004,0.0051,0.0068,73.824,0.079,1.201
32.0,0.70,-0.0061,0.0000,0.0040,43.251,0.046,-0.009
