# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1077,0.0508,5.966,0.029,1.263
0.3,0.03,0.0664,0.1076,0.0518,5.966,0.029,1.263
0.7,0.06,0.1301,0.1075,0.0528,5.966,0.030,1.263
1.0,0.10,0.1910,0.1073,0.0539,6.711,0.031,1.259
1.3,0.13,0.2491,0.1071,0.0550,6.711,0.031,1.259
1.6,0.16,0.3043,0.1067,0.0561,6.711,0.032,1.254
2.0,0.19,0.3568,0.1061,0.0571,6.711,0.033,1.246
2.3,0.22,0.4065,0.1052,0.0579,6.711,0.033,1.237
2.6,0.26,0.4535,0.1036,0.0585,6.711,0.033,1.219
2.9,0.29,0.4975,0.1016,0.0588,6.711,0.034,1.197
3.3,0.32,0.5384,0.0991,0.0589,6.711,0.034,1.165
3.6,0.35,0.5762,0.0962,0.0587,6.711,0.033,1.130
3.9,0.38,0.6109,0.0929,0.0583,6.711,0.033,1.090
4.2,0.42,0.6424,0.0892,0.0577,6.711,0.033,1.050
4.6,0.45,0.6704,0.0850,0.0568,6.711,0.032,1.001
4.9,0.48,0.6949,0.0804,0.0555,6.711,0.032,0.943
5.2,0.51,0.7159,0.0754,0.0539,6.711,0.031,0.885
5.5,0.54,0.7334,0.0703,0.0521,5.966,0.030,0.827
5.9,0.58,0.7477,0.0650,0.0501,5.966,0.029,0.765
6.2,0.61,0.7590,0.0597,0.0478,5.966,0.027,0.703
6.5,0.64,0.7675,0.0542,0.0452,5.220,0.026,0.636
6.8,0.67,0.7741,0.0487,0.0422,5.220,0.024,0.574
7.2,0.70,0.7787,0.0430,0.0388,4.474,0.022,0.507
7.5,0.74,0.7803,0.0372,0.0350,4.474,0.020,0.436
7.8,0.77,0.7786,0.0312,0.0307,3.728,0.018,0.365
8.1,0.80,0.7703,0.0251,0.0261,2.983,0.015,0.294
8.4,0.83,0.7471,0.0190,0.0211,2.237,0.012,0.222
8.8,0.86,0.6948,0.0127,0.0158,2.237,0.009,0.151
9.1,0.90,0.5625,0.0064,0.0102,1.491,0.006,0.076
9.4,0.93,0.0011,0.0000,0.0048,0.746,0.003,0.000
