# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1217,0.0635,65.622,0.210,6.864
0.7,0.04,0.0736,0.1219,0.0654,67.859,0.216,6.873
1.5,0.08,0.1432,0.1220,0.0673,70.096,0.222,6.881
2.2,0.12,0.2088,0.1222,0.0694,72.333,0.229,6.890
2.9,0.16,0.2704,0.1223,0.0715,74.570,0.236,6.899
3.6,0.20,0.3281,0.1225,0.0737,76.807,0.244,6.904
4.4,0.24,0.3820,0.1226,0.0760,79.044,0.251,6.913
5.1,0.28,0.4324,0.1227,0.0784,81.281,0.259,6.917
5.8,0.32,0.4792,0.1227,0.0809,84.264,0.267,6.917
6.5,0.36,0.5228,0.1226,0.0834,86.501,0.276,6.913
7.3,0.39,0.5634,0.1221,0.0856,88.738,0.283,6.881
8.0,0.43,0.6015,0.1209,0.0873,90.975,0.289,6.815
8.7,0.47,0.6370,0.1188,0.0884,91.721,0.292,6.699
9.5,0.51,0.6698,0.1159,0.0888,92.467,0.294,6.530
10.2,0.55,0.7000,0.1120,0.0885,91.721,0.292,6.312
10.9,0.59,0.7277,0.1071,0.0872,90.230,0.288,6.036
11.6,0.63,0.7528,0.1012,0.0849,87.993,0.281,5.703
12.4,0.67,0.7752,0.0943,0.0817,85.010,0.270,5.316
13.1,0.71,0.7948,0.0872,0.0780,81.281,0.258,4.915
13.8,0.75,0.8118,0.0800,0.0740,76.807,0.244,4.510
14.5,0.79,0.8258,0.0727,0.0695,72.333,0.230,4.097
15.3,0.83,0.8372,0.0652,0.0646,67.113,0.213,3.674
16.0,0.87,0.8466,0.0575,0.0590,61.147,0.195,3.243
16.7,0.91,0.8521,0.0496,0.0529,55.182,0.175,2.798
17.5,0.95,0.8527,0.0416,0.0463,47.725,0.153,2.349
18.2,0.99,0.8469,0.0334,0.0390,40.268,0.129,1.882
18.9,1.03,0.8261,0.0251,0.0312,32.065,0.103,1.415
19.6,1.07,0.7724,0.0168,0.0232,23.862,0.077,0.947
20.4,1.11,0.6237,0.0084,0.0150,15.660,0.049,0.476
21.1,1.15,-0.0014,0.0000,0.0074,7.457,0.025,0.000
