# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0976,0.1404,1852.318,2.527,29.945
1.9,0.04,0.0314,0.0980,0.1377,1815.779,2.477,30.083
3.8,0.09,0.0644,0.0985,0.1349,1779.240,2.427,30.221
5.7,0.13,0.0991,0.0989,0.1320,1740.464,2.375,30.355
7.6,0.18,0.1357,0.0993,0.1290,1701.687,2.321,30.475
9.5,0.22,0.1743,0.0996,0.1260,1661.419,2.267,30.586
11.4,0.26,0.2152,0.0999,0.1228,1619.660,2.210,30.670
13.3,0.31,0.2583,0.1001,0.1196,1577.155,2.152,30.733
15.2,0.35,0.3040,0.1002,0.1162,1533.159,2.091,30.759
17.0,0.40,0.3524,0.1002,0.1128,1487.671,2.029,30.746
19.0,0.44,0.4033,0.1000,0.1092,1440.692,1.965,30.684
20.8,0.48,0.4572,0.0995,0.1055,1392.222,1.899,30.550
22.7,0.53,0.5138,0.0988,0.1018,1342.260,1.831,30.337
24.6,0.57,0.5730,0.0978,0.0978,1290.061,1.760,30.021
26.5,0.62,0.6338,0.0963,0.0937,1236.370,1.687,29.554
28.4,0.66,0.6944,0.0938,0.0893,1178.206,1.607,28.789
30.3,0.71,0.7504,0.0902,0.0848,1117.804,1.525,27.686
32.2,0.75,0.7969,0.0856,0.0805,1061.131,1.448,26.267
34.1,0.79,0.8327,0.0799,0.0762,1004.458,1.370,24.532
36.0,0.84,0.8581,0.0734,0.0716,944.802,1.289,22.526
37.9,0.88,0.8755,0.0664,0.0668,881.417,1.202,20.368
39.8,0.93,0.8890,0.0594,0.0618,815.050,1.112,18.224
41.7,0.97,0.9004,0.0523,0.0563,742.717,1.013,16.049
43.5,1.01,0.9090,0.0451,0.0503,662.927,0.905,13.834
45.5,1.06,0.9133,0.0377,0.0437,576.426,0.787,11.588
47.3,1.10,0.9115,0.0303,0.0367,483.959,0.660,9.310
49.3,1.15,0.8990,0.0228,0.0290,383.290,0.522,6.993
51.1,1.19,0.8560,0.0152,0.0211,278.146,0.379,4.657
53.0,1.23,0.7211,0.0076,0.0129,170.765,0.233,2.322
54.9,1.28,0.0003,0.0000,0.0048,63.384,0.086,0.000
