# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1203,0.1338,5444.355,4.726,75.882
2.1,0.03,0.0302,0.1202,0.1292,5257.184,4.564,75.851
4.2,0.06,0.0627,0.1201,0.1244,5060.319,4.393,75.780
6.3,0.10,0.0978,0.1199,0.1194,4858.235,4.218,75.651
8.4,0.13,0.1359,0.1196,0.1143,4650.184,4.037,75.469
10.5,0.16,0.1775,0.1192,0.1090,4435.423,3.850,75.215
12.6,0.19,0.2232,0.1187,0.1036,4213.204,3.658,74.886
14.7,0.23,0.2734,0.1181,0.0981,3992.477,3.466,74.485
16.8,0.26,0.3289,0.1173,0.0926,3768.021,3.271,73.987
18.8,0.29,0.3900,0.1163,0.0871,3543.566,3.076,73.347
20.9,0.32,0.4562,0.1146,0.0815,3316.873,2.879,72.279
23.0,0.36,0.5235,0.1111,0.0758,3084.215,2.678,70.122
25.1,0.39,0.5867,0.1070,0.0711,2891.824,2.511,67.533
27.2,0.42,0.6357,0.1026,0.0681,2770.275,2.405,64.699
29.3,0.45,0.6778,0.0976,0.0655,2663.640,2.312,61.599
31.4,0.49,0.7144,0.0923,0.0629,2560.733,2.223,58.254
33.5,0.52,0.7457,0.0867,0.0604,2455.590,2.132,54.669
35.6,0.55,0.7720,0.0807,0.0577,2346.717,2.037,50.905
37.7,0.58,0.7951,0.0747,0.0549,2233.371,1.939,47.124
39.8,0.62,0.8162,0.0686,0.0518,2108.839,1.830,43.268
41.9,0.65,0.8353,0.0623,0.0484,1970.885,1.711,39.322
43.9,0.68,0.8523,0.0559,0.0447,1820.253,1.580,35.288
46.0,0.71,0.8669,0.0494,0.0407,1656.199,1.438,31.169
48.1,0.75,0.8781,0.0427,0.0363,1478.723,1.284,26.970
50.2,0.78,0.8854,0.0359,0.0316,1286.332,1.117,22.673
52.3,0.81,0.8862,0.0290,0.0265,1079.773,0.937,18.287
54.4,0.84,0.8747,0.0219,0.0212,861.283,0.748,13.838
56.5,0.88,0.8410,0.0148,0.0154,627.134,0.544,9.332
58.6,0.91,0.7372,0.0074,0.0092,373.596,0.324,4.702
60.7,0.94,-0.0022,0.0000,0.0033,135.717,0.118,-0.004
