# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1201,0.2535,4187.105,4.998,41.840
2.1,0.04,0.0215,0.1208,0.2459,4061.827,4.848,42.076
4.2,0.09,0.0447,0.1214,0.2379,3929.838,4.691,42.289
6.2,0.13,0.0698,0.1219,0.2296,3792.630,4.527,42.485
8.3,0.18,0.0970,0.1224,0.2210,3650.201,4.357,42.645
10.4,0.22,0.1267,0.1227,0.2121,3503.298,4.182,42.761
12.5,0.26,0.1592,0.1229,0.2028,3350.430,4.000,42.823
14.5,0.31,0.1949,0.1229,0.1933,3192.341,3.811,42.819
16.6,0.35,0.2342,0.1227,0.1834,3029.779,3.617,42.739
18.7,0.39,0.2777,0.1222,0.1733,2863.488,3.418,42.565
20.7,0.44,0.3261,0.1214,0.1630,2691.977,3.213,42.289
22.8,0.48,0.3796,0.1202,0.1525,2518.974,3.007,41.880
24.9,0.53,0.4394,0.1186,0.1418,2341.498,2.795,41.311
27.0,0.57,0.5053,0.1164,0.1311,2165.512,2.584,40.546
29.1,0.61,0.5766,0.1133,0.1204,1989.527,2.375,39.474
31.1,0.66,0.6498,0.1090,0.1102,1820.253,2.172,37.983
33.2,0.70,0.7173,0.1037,0.1013,1673.351,1.997,36.133
35.3,0.74,0.7740,0.0975,0.0937,1548.073,1.848,33.958
37.4,0.79,0.8180,0.0904,0.0871,1438.455,1.717,31.498
39.4,0.83,0.8489,0.0827,0.0810,1338.531,1.597,28.807
41.5,0.88,0.8688,0.0747,0.0753,1244.573,1.485,26.040
43.6,0.92,0.8843,0.0670,0.0696,1150.615,1.373,23.335
45.7,0.96,0.8980,0.0591,0.0633,1046.217,1.249,20.577
47.7,1.01,0.9096,0.0510,0.0565,932.871,1.113,17.766
49.8,1.05,0.9182,0.0428,0.0490,809.084,0.966,14.910
51.9,1.09,0.9228,0.0345,0.0409,674.858,0.806,12.001
54.0,1.14,0.9175,0.0259,0.0321,530.938,0.634,9.025
56.1,1.18,0.8859,0.0175,0.0233,385.527,0.460,6.090
58.1,1.23,0.7742,0.0089,0.0141,233.404,0.279,3.109
60.2,1.27,-0.0039,0.0000,0.0045,74.570,0.089,-0.004
