# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0903,0.0336,8.948,0.041,1.966
0.3,0.02,0.0637,0.0893,0.0339,8.948,0.042,1.944
0.6,0.05,0.1247,0.0881,0.0342,8.948,0.042,1.917
0.8,0.07,0.1829,0.0868,0.0344,8.948,0.042,1.890
1.2,0.10,0.2382,0.0853,0.0346,8.948,0.043,1.859
1.4,0.12,0.2906,0.0837,0.0348,8.948,0.043,1.824
1.7,0.15,0.3399,0.0819,0.0350,8.948,0.043,1.784
2.0,0.17,0.3862,0.0799,0.0350,8.948,0.043,1.739
2.3,0.19,0.4296,0.0778,0.0350,8.948,0.043,1.695
2.6,0.22,0.4696,0.0755,0.0350,8.948,0.043,1.641
2.9,0.24,0.5065,0.0730,0.0348,8.948,0.043,1.588
3.2,0.27,0.5400,0.0703,0.0346,8.948,0.043,1.530
3.4,0.29,0.5703,0.0675,0.0343,8.948,0.042,1.468
3.7,0.31,0.5974,0.0644,0.0339,8.948,0.042,1.401
4.0,0.34,0.6213,0.0612,0.0333,8.948,0.041,1.334
4.3,0.36,0.6419,0.0578,0.0327,8.203,0.040,1.259
4.6,0.39,0.6594,0.0542,0.0318,8.203,0.039,1.179
4.9,0.41,0.6739,0.0505,0.0308,8.203,0.038,1.099
5.1,0.44,0.6861,0.0468,0.0297,7.457,0.037,1.019
5.5,0.46,0.6958,0.0430,0.0284,7.457,0.035,0.934
5.7,0.48,0.7035,0.0390,0.0268,6.711,0.033,0.850
6.0,0.51,0.7085,0.0350,0.0251,6.711,0.031,0.761
6.3,0.53,0.7102,0.0309,0.0232,5.966,0.029,0.672
6.6,0.56,0.7093,0.0267,0.0209,5.220,0.026,0.583
6.9,0.58,0.7024,0.0224,0.0185,4.474,0.023,0.489
7.2,0.60,0.6846,0.0180,0.0159,4.474,0.020,0.391
7.5,0.63,0.6491,0.0137,0.0132,3.728,0.016,0.298
7.7,0.65,0.5810,0.0092,0.0103,2.983,0.013,0.200
8.0,0.68,0.4274,0.0046,0.0073,2.237,0.009,0.102
8.3,0.70,-0.0004,0.0000,0.0046,1.491,0.006,0.000
