# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1943,0.2810,10994.599,11.666,128.718
2.0,0.03,0.0247,0.1940,0.2687,10513.622,11.155,128.496
4.1,0.07,0.0518,0.1934,0.2559,10011.021,10.622,128.158
6.1,0.10,0.0817,0.1928,0.2426,9489.777,10.069,127.704
8.1,0.14,0.1150,0.1919,0.2287,8948.398,9.495,127.112
10.1,0.17,0.1524,0.1907,0.2144,8389.869,8.902,126.361
12.2,0.21,0.1949,0.1893,0.1998,7817.172,8.294,125.418
14.2,0.24,0.2434,0.1876,0.1849,7234.034,7.676,124.270
16.2,0.27,0.2995,0.1855,0.1698,6643.440,7.049,122.860
18.2,0.31,0.3632,0.1823,0.1549,6058.811,6.429,120.783
20.3,0.34,0.4337,0.1775,0.1403,5489.842,5.825,117.598
22.3,0.38,0.5079,0.1715,0.1273,4980.529,5.285,113.608
24.3,0.41,0.5735,0.1640,0.1176,4603.205,4.884,108.661
26.3,0.45,0.6252,0.1552,0.1106,4328.042,4.592,102.821
28.3,0.48,0.6613,0.1469,0.1066,4170.699,4.425,97.327
30.4,0.51,0.6916,0.1386,0.1030,4030.508,4.276,91.798
32.4,0.55,0.7199,0.1300,0.0991,3875.402,4.112,86.135
34.4,0.58,0.7459,0.1213,0.0947,3706.128,3.933,80.335
36.4,0.62,0.7699,0.1123,0.0900,3521.195,3.736,74.397
38.4,0.65,0.7920,0.1031,0.0848,3317.619,3.520,68.311
40.5,0.69,0.8121,0.0937,0.0791,3095.400,3.284,62.088
42.5,0.72,0.8299,0.0841,0.0730,2854.539,3.029,55.727
44.5,0.75,0.8442,0.0743,0.0664,2598.018,2.756,49.242
46.6,0.79,0.8534,0.0643,0.0594,2325.092,2.467,42.618
48.6,0.82,0.8551,0.0541,0.0521,2037.252,2.162,35.862
50.6,0.86,0.8422,0.0437,0.0444,1738.226,1.844,28.922
52.6,0.89,0.7997,0.0330,0.0368,1437.709,1.526,21.850
54.7,0.93,0.7033,0.0222,0.0292,1142.412,1.212,14.701
56.7,0.96,0.4994,0.0112,0.0215,841.149,0.892,7.411
58.7,0.99,-0.0045,-0.0001,0.0136,531.684,0.564,-0.040
