# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0705,0.0247,2.237,0.020,0.823
0.1,0.01,0.0413,0.0688,0.0247,2.237,0.020,0.805
0.2,0.03,0.0807,0.0671,0.0246,2.237,0.020,0.783
0.3,0.04,0.1182,0.0653,0.0246,2.237,0.020,0.765
0.4,0.06,0.1538,0.0635,0.0245,2.237,0.020,0.743
0.5,0.07,0.1874,0.0616,0.0244,2.237,0.020,0.721
0.6,0.09,0.2192,0.0597,0.0242,2.237,0.019,0.698
0.8,0.10,0.2492,0.0578,0.0240,2.237,0.019,0.676
0.8,0.12,0.2775,0.0557,0.0238,2.237,0.019,0.654
0.9,0.13,0.3039,0.0536,0.0235,2.237,0.019,0.627
1.1,0.15,0.3286,0.0515,0.0232,2.237,0.019,0.601
1.2,0.16,0.3517,0.0493,0.0229,2.237,0.018,0.578
1.3,0.18,0.3730,0.0471,0.0224,2.237,0.018,0.552
1.4,0.19,0.3923,0.0448,0.0220,1.491,0.018,0.525
1.5,0.21,0.4097,0.0424,0.0215,1.491,0.017,0.494
1.6,0.22,0.4253,0.0400,0.0209,1.491,0.017,0.467
1.7,0.24,0.4387,0.0375,0.0203,1.491,0.016,0.440
1.8,0.25,0.4496,0.0350,0.0196,1.491,0.016,0.409
1.9,0.27,0.4583,0.0324,0.0188,1.491,0.015,0.378
2.0,0.28,0.4640,0.0297,0.0180,1.491,0.014,0.347
2.1,0.30,0.4656,0.0270,0.0172,1.491,0.014,0.316
2.2,0.31,0.4624,0.0242,0.0163,1.491,0.013,0.285
2.3,0.33,0.4530,0.0214,0.0154,1.491,0.012,0.249
2.5,0.34,0.4365,0.0185,0.0144,1.491,0.012,0.218
2.5,0.36,0.4109,0.0156,0.0135,1.491,0.011,0.182
2.6,0.37,0.3731,0.0125,0.0125,0.746,0.010,0.147
2.8,0.39,0.3198,0.0095,0.0114,0.746,0.009,0.111
2.9,0.40,0.2457,0.0064,0.0104,0.746,0.008,0.076
3.0,0.41,0.1429,0.0032,0.0093,0.746,0.007,0.036
3.1,0.43,0.0030,0.0001,0.0082,0.746,0.007,0.000
