# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0999,0.0896,3484.655,4.754,72.800
1.4,0.03,0.0316,0.0995,0.0854,3319.856,4.529,72.528
2.9,0.05,0.0662,0.0990,0.0810,3150.582,4.298,72.181
4.3,0.08,0.1044,0.0984,0.0766,2978.325,4.062,71.728
5.8,0.11,0.1466,0.0976,0.0721,2804.577,3.826,71.132
7.2,0.14,0.1932,0.0965,0.0677,2630.829,3.589,70.362
8.7,0.16,0.2443,0.0952,0.0633,2462.301,3.359,69.383
10.1,0.19,0.2995,0.0935,0.0592,2301.976,3.141,68.173
11.6,0.22,0.3578,0.0915,0.0554,2155.073,2.940,66.719
13.0,0.24,0.4174,0.0892,0.0521,2024.575,2.762,65.002
14.4,0.27,0.4763,0.0865,0.0492,1911.974,2.608,63.031
15.9,0.30,0.5325,0.0835,0.0467,1815.779,2.477,60.829
17.3,0.33,0.5844,0.0802,0.0446,1733.752,2.365,58.436
18.8,0.35,0.6317,0.0766,0.0427,1660.674,2.265,55.847
20.2,0.38,0.6740,0.0728,0.0410,1592.815,2.173,53.085
21.7,0.41,0.7110,0.0688,0.0393,1527.939,2.085,50.136
23.1,0.43,0.7421,0.0644,0.0376,1463.063,1.996,46.964
24.5,0.46,0.7669,0.0600,0.0360,1401.170,1.912,43.748
26.0,0.49,0.7885,0.0555,0.0343,1334.803,1.821,40.474
27.4,0.51,0.8079,0.0509,0.0324,1261.724,1.721,37.129
28.9,0.54,0.8250,0.0462,0.0304,1180.443,1.611,33.709
30.4,0.57,0.8393,0.0414,0.0281,1092.450,1.490,30.212
31.8,0.60,0.8500,0.0366,0.0256,997.001,1.360,26.654
33.2,0.62,0.8569,0.0316,0.0230,893.348,1.218,23.033
34.7,0.65,0.8586,0.0265,0.0201,780.748,1.065,19.332
36.1,0.68,0.8489,0.0214,0.0170,662.181,0.904,15.564
37.6,0.70,0.8180,0.0161,0.0139,539.141,0.735,11.739
39.0,0.73,0.7503,0.0108,0.0105,409.389,0.558,7.873
40.5,0.76,0.5880,0.0054,0.0070,272.180,0.371,3.959
41.9,0.79,-0.0010,0.0000,0.0039,151.377,0.206,-0.004
