# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1023,0.0446,6.711,0.063,1.890
0.2,0.03,0.0654,0.1021,0.0454,6.711,0.064,1.886
0.4,0.06,0.1282,0.1018,0.0462,6.711,0.065,1.882
0.7,0.09,0.1883,0.1014,0.0469,6.711,0.067,1.873
0.9,0.12,0.2457,0.1007,0.0476,6.711,0.068,1.859
1.2,0.15,0.3004,0.0997,0.0482,7.457,0.068,1.842
1.4,0.17,0.3523,0.0984,0.0487,7.457,0.069,1.815
1.7,0.20,0.4013,0.0967,0.0490,7.457,0.069,1.784
1.9,0.23,0.4474,0.0946,0.0492,7.457,0.070,1.748
2.1,0.26,0.4903,0.0923,0.0492,7.457,0.070,1.704
2.3,0.29,0.5302,0.0897,0.0491,7.457,0.070,1.655
2.6,0.32,0.5669,0.0867,0.0489,7.457,0.069,1.601
2.8,0.35,0.6003,0.0836,0.0485,7.457,0.069,1.544
3.0,0.38,0.6303,0.0801,0.0480,7.457,0.068,1.477
3.3,0.41,0.6568,0.0763,0.0473,6.711,0.067,1.410
3.5,0.44,0.6799,0.0723,0.0463,6.711,0.066,1.334
3.8,0.46,0.6997,0.0679,0.0451,6.711,0.064,1.254
4.0,0.49,0.7163,0.0633,0.0436,6.711,0.062,1.170
4.2,0.52,0.7297,0.0586,0.0420,5.966,0.060,1.081
4.4,0.55,0.7401,0.0538,0.0401,5.966,0.057,0.992
4.7,0.58,0.7487,0.0489,0.0379,5.966,0.054,0.903
4.9,0.61,0.7551,0.0438,0.0354,5.220,0.050,0.810
5.1,0.64,0.7589,0.0387,0.0326,4.474,0.046,0.716
5.4,0.67,0.7595,0.0334,0.0294,4.474,0.042,0.618
5.6,0.70,0.7570,0.0281,0.0259,3.728,0.037,0.520
5.9,0.73,0.7457,0.0226,0.0220,2.983,0.031,0.418
6.1,0.76,0.7185,0.0170,0.0179,2.983,0.025,0.316
6.3,0.78,0.6610,0.0114,0.0136,2.237,0.019,0.209
6.5,0.81,0.5227,0.0057,0.0089,1.491,0.013,0.107
6.8,0.84,-0.0022,0.0000,0.0047,0.746,0.007,0.000
