# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0985,0.0369,2750.887,3.753,120.831
1.5,0.03,0.0656,0.0985,0.0379,2824.711,3.853,120.800
3.1,0.05,0.1276,0.0984,0.0389,2900.027,3.956,120.702
4.6,0.08,0.1864,0.0982,0.0399,2970.123,4.052,120.369
6.1,0.10,0.2425,0.0969,0.0403,3005.916,4.100,118.874
7.6,0.13,0.2960,0.0953,0.0406,3026.796,4.129,116.881
9.2,0.15,0.3469,0.0935,0.0408,3037.981,4.145,114.595
10.7,0.18,0.3953,0.0914,0.0408,3040.964,4.148,112.037
12.2,0.20,0.4414,0.0890,0.0407,3034.253,4.139,109.199
13.8,0.23,0.4851,0.0865,0.0405,3017.102,4.116,106.095
15.3,0.25,0.5267,0.0837,0.0401,2988.765,4.077,102.692
16.9,0.28,0.5660,0.0807,0.0396,2948.497,4.022,98.968
18.4,0.30,0.6027,0.0774,0.0389,2898.535,3.954,94.965
19.9,0.33,0.6369,0.0739,0.0381,2835.897,3.869,90.646
21.5,0.35,0.6682,0.0701,0.0371,2759.835,3.765,85.931
23.0,0.38,0.6972,0.0661,0.0359,2672.588,3.646,81.024
24.5,0.40,0.7241,0.0620,0.0346,2574.156,3.512,76.002
26.1,0.43,0.7487,0.0578,0.0331,2466.029,3.364,70.851
27.6,0.45,0.7707,0.0535,0.0315,2348.209,3.203,65.589
29.1,0.48,0.7908,0.0491,0.0298,2216.966,3.024,60.184
30.7,0.50,0.8082,0.0446,0.0278,2073.791,2.829,54.669
32.2,0.53,0.8223,0.0400,0.0258,1919.431,2.619,49.033
33.7,0.56,0.8318,0.0353,0.0236,1754.632,2.393,43.277
35.3,0.58,0.8353,0.0305,0.0212,1578.647,2.153,37.396
36.8,0.61,0.8304,0.0256,0.0187,1389.985,1.896,31.373
38.3,0.63,0.8130,0.0206,0.0160,1190.883,1.624,25.261
39.9,0.66,0.7760,0.0155,0.0131,979.104,1.336,19.065
41.4,0.68,0.6988,0.0104,0.0102,758.377,1.034,12.802
42.9,0.71,0.4990,0.0053,0.0074,554.801,0.757,6.445
44.4,0.73,0.0018,0.0000,0.0052,388.510,0.530,0.018
