# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1078,0.0560,16182.433,14.048,326.357
2.2,0.02,0.0449,0.1076,0.0564,16300.253,14.151,325.757
4.5,0.05,0.0890,0.1073,0.0568,16415.837,14.251,325.018
6.8,0.07,0.1323,0.1071,0.0572,16538.132,14.357,324.302
9.0,0.09,0.1746,0.1068,0.0576,16663.409,14.466,323.492
11.3,0.12,0.2160,0.1065,0.0581,16792.415,14.578,322.638
13.5,0.14,0.2565,0.1062,0.0585,16921.421,14.690,321.682
15.7,0.16,0.2959,0.1059,0.0590,17058.630,14.809,320.641
18.0,0.19,0.3341,0.1055,0.0595,17199.568,14.931,319.445
20.3,0.21,0.3711,0.1043,0.0596,17220.447,14.949,315.779
22.5,0.24,0.4070,0.1025,0.0593,17144.386,14.883,310.317
24.7,0.26,0.4431,0.1001,0.0586,16930.370,14.698,303.262
27.0,0.28,0.4796,0.0972,0.0573,16559.757,14.376,294.330
29.2,0.31,0.5136,0.0932,0.0556,16069.832,13.951,282.351
31.5,0.33,0.5454,0.0885,0.0535,15477.001,13.436,268.121
33.8,0.35,0.5757,0.0837,0.0514,14852.104,12.894,253.509
36.0,0.38,0.6044,0.0788,0.0492,14214.531,12.340,238.763
38.2,0.40,0.6320,0.0739,0.0468,13537.435,11.752,223.794
40.5,0.42,0.6549,0.0691,0.0448,12937.893,11.232,209.311
42.7,0.45,0.6710,0.0643,0.0429,12400.989,10.765,194.734
45.0,0.47,0.6821,0.0595,0.0411,11873.779,10.308,180.082
47.2,0.49,0.6880,0.0544,0.0391,11313.758,9.822,164.824
49.5,0.52,0.6934,0.0485,0.0363,10489.014,9.105,147.000
51.7,0.54,0.7003,0.0423,0.0327,9456.966,8.210,128.051
54.0,0.57,0.6941,0.0357,0.0291,8408.512,7.299,108.145
56.2,0.59,0.6750,0.0288,0.0251,7251.186,6.295,87.065
58.5,0.61,0.6250,0.0218,0.0214,6180.361,5.365,66.069
60.7,0.64,0.5298,0.0147,0.0176,5094.622,4.423,44.460
63.0,0.66,0.3558,0.0074,0.0138,3988.749,3.463,22.535
65.2,0.68,0.0011,0.0000,0.0098,2844.099,2.469,0.049
