# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0966,0.0590,4393.664,5.994,118.416
1.8,0.03,0.0494,0.0965,0.0584,4348.922,5.932,118.394
3.6,0.06,0.0998,0.0965,0.0578,4304.180,5.872,118.345
5.5,0.09,0.1510,0.0964,0.0572,4261.675,5.814,118.265
7.2,0.12,0.2037,0.0963,0.0565,4208.730,5.742,118.127
9.1,0.15,0.2572,0.0962,0.0558,4159.514,5.674,117.936
10.9,0.18,0.3117,0.0960,0.0552,4111.043,5.608,117.695
12.7,0.21,0.3669,0.0957,0.0545,4062.573,5.542,117.362
14.5,0.24,0.4225,0.0952,0.0539,4011.865,5.473,116.793
16.3,0.27,0.4776,0.0940,0.0529,3942.515,5.378,115.325
18.1,0.30,0.5313,0.0917,0.0516,3841.846,5.241,112.496
19.9,0.33,0.5805,0.0889,0.0503,3746.396,5.111,108.977
21.8,0.36,0.6225,0.0856,0.0493,3671.826,5.009,104.996
23.6,0.39,0.6605,0.0821,0.0482,3593.528,4.902,100.637
25.4,0.42,0.6954,0.0782,0.0470,3504.044,4.780,95.935
27.2,0.45,0.7270,0.0741,0.0457,3402.629,4.641,90.891
29.0,0.48,0.7550,0.0696,0.0441,3282.571,4.478,85.384
30.8,0.51,0.7795,0.0649,0.0423,3148.345,4.295,79.574
32.7,0.54,0.8019,0.0601,0.0403,2999.205,4.091,73.649
34.5,0.57,0.8218,0.0551,0.0381,2835.151,3.868,67.591
36.3,0.60,0.8396,0.0501,0.0356,2653.200,3.620,61.403
38.1,0.63,0.8555,0.0449,0.0329,2451.861,3.345,55.060
39.9,0.66,0.8687,0.0396,0.0300,2233.371,3.046,48.606
41.7,0.69,0.8781,0.0343,0.0268,1997.730,2.725,42.036
43.5,0.72,0.8827,0.0288,0.0234,1743.446,2.378,35.341
45.4,0.75,0.8800,0.0233,0.0197,1469.774,2.005,28.518
47.2,0.78,0.8657,0.0176,0.0158,1175.223,1.603,21.565
49.0,0.81,0.8285,0.0118,0.0115,856.809,1.169,14.488
50.8,0.84,0.7174,0.0059,0.0069,516.024,0.704,7.286
52.6,0.87,-0.0033,0.0000,0.0035,261.741,0.357,-0.018
