# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0925,0.0501,7936.484,8.421,187.510
2.4,0.03,0.0563,0.0926,0.0505,7993.157,8.481,187.644
4.8,0.06,0.1118,0.0926,0.0509,8058.033,8.550,187.791
7.2,0.09,0.1664,0.0927,0.0513,8125.892,8.622,187.946
9.6,0.12,0.2200,0.0928,0.0518,8203.444,8.704,188.111
12.0,0.15,0.2725,0.0929,0.0523,8283.980,8.789,188.284
14.4,0.18,0.3240,0.0930,0.0529,8369.735,8.880,188.467
16.8,0.21,0.3743,0.0931,0.0534,8460.711,8.977,188.654
19.2,0.25,0.4231,0.0931,0.0541,8559.143,9.082,188.783
21.6,0.28,0.4705,0.0931,0.0547,8659.813,9.188,188.760
24.0,0.31,0.5160,0.0932,0.0554,8776.142,9.311,188.840
26.4,0.34,0.5598,0.0931,0.0562,8895.454,9.438,188.769
28.8,0.37,0.6015,0.0929,0.0569,9005.072,9.555,188.231
31.2,0.40,0.6424,0.0906,0.0563,8908.876,9.453,183.578
33.6,0.43,0.6814,0.0872,0.0550,8709.775,9.242,176.781
36.0,0.46,0.7167,0.0830,0.0533,8445.797,8.961,168.267
38.4,0.49,0.7466,0.0781,0.0514,8140.805,8.637,158.392
40.8,0.52,0.7738,0.0728,0.0491,7777.650,8.252,147.619
43.2,0.55,0.7981,0.0674,0.0467,7386.157,7.837,136.574
45.6,0.58,0.8198,0.0618,0.0440,6961.854,7.386,125.257
48.0,0.61,0.8391,0.0561,0.0410,6494.300,6.891,113.621
50.4,0.64,0.8566,0.0503,0.0379,5993.936,6.360,101.958
52.8,0.68,0.8712,0.0445,0.0345,5460.760,5.794,90.179
55.2,0.71,0.8829,0.0386,0.0308,4883.588,5.181,78.169
57.5,0.74,0.8901,0.0325,0.0269,4258.692,4.519,65.860
59.9,0.77,0.8903,0.0263,0.0227,3590.545,3.810,53.325
62.4,0.80,0.8760,0.0200,0.0182,2879.147,3.055,40.457
64.7,0.83,0.8282,0.0134,0.0135,2130.465,2.261,27.250
67.1,0.86,0.6938,0.0068,0.0084,1332.566,1.414,13.767
69.6,0.89,-0.0067,0.0000,0.0045,708.415,0.752,-0.067
