# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0946,0.0704,5244.507,7.155,116.005
1.9,0.03,0.0418,0.0946,0.0691,5150.549,7.027,116.005
3.7,0.06,0.0853,0.0946,0.0678,5050.625,6.890,115.974
5.6,0.09,0.1305,0.0945,0.0664,4945.482,6.747,115.907
7.4,0.12,0.1780,0.0944,0.0649,4831.389,6.591,115.792
9.3,0.15,0.2276,0.0943,0.0633,4715.806,6.434,115.623
11.1,0.18,0.2791,0.0941,0.0618,4606.934,6.284,115.400
13.0,0.21,0.3333,0.0939,0.0602,4487.622,6.122,115.102
14.8,0.24,0.3897,0.0936,0.0587,4372.784,5.965,114.724
16.7,0.28,0.4480,0.0931,0.0572,4259.438,5.810,114.213
18.6,0.31,0.5078,0.0923,0.0556,4138.634,5.646,113.216
20.4,0.34,0.5664,0.0900,0.0534,3978.309,5.427,110.334
22.3,0.37,0.6217,0.0868,0.0512,3815.001,5.204,106.464
24.1,0.40,0.6641,0.0832,0.0498,3709.111,5.060,102.069
26.0,0.43,0.7005,0.0793,0.0485,3609.187,4.924,97.274
27.9,0.46,0.7332,0.0751,0.0469,3495.841,4.769,92.043
29.7,0.49,0.7618,0.0704,0.0452,3366.835,4.593,86.344
31.6,0.52,0.7863,0.0656,0.0433,3229.626,4.405,80.455
33.4,0.55,0.8081,0.0607,0.0413,3078.995,4.200,74.454
35.3,0.58,0.8279,0.0557,0.0391,2911.212,3.971,68.325
37.1,0.61,0.8453,0.0506,0.0366,2725.533,3.718,62.053
39.0,0.64,0.8608,0.0454,0.0338,2520.466,3.438,55.643
40.9,0.67,0.8739,0.0400,0.0308,2294.519,3.130,49.099
42.7,0.70,0.8835,0.0346,0.0275,2051.420,2.799,42.449
44.6,0.73,0.8886,0.0291,0.0240,1789.680,2.441,35.688
46.4,0.76,0.8866,0.0235,0.0202,1508.551,2.058,28.811
48.3,0.79,0.8725,0.0177,0.0162,1203.560,1.642,21.761
50.1,0.83,0.8343,0.0119,0.0118,876.197,1.196,14.586
52.0,0.86,0.7056,0.0060,0.0073,540.632,0.737,7.335
53.8,0.89,-0.0020,0.0000,0.0040,296.043,0.404,-0.009
