# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0955,0.0569,14532.945,12.616,261.938
2.4,0.03,0.0426,0.0954,0.0570,14573.958,12.652,261.782
4.7,0.05,0.0849,0.0954,0.0573,14629.140,12.700,261.653
7.1,0.08,0.1266,0.0953,0.0575,14694.762,12.757,261.453
9.5,0.10,0.1674,0.0952,0.0580,14810.345,12.857,261.226
11.8,0.13,0.2079,0.0951,0.0583,14893.118,12.929,260.986
14.2,0.15,0.2425,0.0951,0.0599,15313.693,13.294,260.902
16.6,0.18,0.2869,0.0949,0.0590,15070.594,13.083,260.310
19.0,0.20,0.3256,0.0947,0.0593,15148.147,13.151,259.883
21.4,0.23,0.3639,0.0945,0.0596,15219.734,13.212,259.354
23.7,0.25,0.4027,0.0943,0.0597,15246.580,13.236,258.766
26.1,0.28,0.4413,0.0936,0.0594,15188.415,13.185,256.823
28.5,0.31,0.4771,0.0918,0.0588,15020.633,13.040,251.703
30.8,0.33,0.5082,0.0891,0.0581,14841.665,12.884,244.559
33.2,0.36,0.5375,0.0862,0.0572,14618.700,12.691,236.588
35.6,0.38,0.5649,0.0829,0.0561,14327.132,12.438,227.424
38.0,0.41,0.5937,0.0790,0.0542,13852.867,12.026,216.673
40.3,0.43,0.6214,0.0743,0.0518,13234.681,11.490,203.929
42.7,0.46,0.6449,0.0691,0.0491,12557.586,10.901,189.637
45.1,0.48,0.6658,0.0640,0.0466,11893.913,10.325,175.674
47.4,0.51,0.6829,0.0591,0.0441,11272.745,9.786,162.253
49.8,0.53,0.6892,0.0545,0.0423,10806.683,9.381,149.482
52.2,0.56,0.6888,0.0489,0.0398,10162.398,8.822,134.114
54.6,0.59,0.6857,0.0427,0.0365,9315.283,8.087,117.055
57.0,0.61,0.6771,0.0361,0.0326,8333.196,7.234,99.097
59.3,0.64,0.6566,0.0294,0.0285,7280.268,6.320,80.593
61.7,0.66,0.6156,0.0225,0.0242,6175.886,5.361,61.635
64.1,0.69,0.5402,0.0154,0.0196,5018.560,4.356,42.320
66.4,0.71,0.3656,0.0078,0.0152,3893.299,3.380,21.427
68.8,0.74,-0.0070,-0.0001,0.0115,2932.092,2.545,-0.298
