# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0840,0.0720,13820.056,13.197,190.402
3.0,0.03,0.0408,0.0841,0.0717,13765.620,13.145,190.669
5.9,0.07,0.0821,0.0842,0.0714,13714.166,13.096,190.949
8.9,0.10,0.1238,0.0843,0.0712,13664.204,13.048,191.233
11.8,0.14,0.1660,0.0845,0.0709,13609.768,12.996,191.518
14.8,0.17,0.2087,0.0846,0.0706,13550.112,12.940,191.812
17.7,0.21,0.2519,0.0847,0.0703,13491.202,12.883,192.092
20.7,0.24,0.2955,0.0849,0.0700,13437.512,12.832,192.381
23.6,0.28,0.3397,0.0850,0.0697,13376.364,12.773,192.652
26.6,0.31,0.3839,0.0851,0.0695,13335.351,12.734,192.928
29.5,0.35,0.4288,0.0852,0.0692,13284.643,12.686,193.186
32.4,0.38,0.4743,0.0853,0.0689,13225.733,12.629,193.413
35.4,0.42,0.5198,0.0854,0.0687,13178.754,12.585,193.618
38.3,0.45,0.5620,0.0855,0.0689,13221.259,12.625,193.862
41.3,0.49,0.6021,0.0856,0.0693,13309.251,12.709,194.129
44.2,0.52,0.6647,0.0854,0.0671,12887.931,12.307,193.698
47.2,0.56,0.6653,0.0856,0.0717,13754.434,13.134,193.987
50.1,0.59,0.6968,0.0835,0.0709,13612.005,12.999,189.227
53.1,0.63,0.7328,0.0802,0.0686,13172.043,12.578,181.883
56.0,0.66,0.7665,0.0750,0.0648,12430.071,11.870,170.091
59.0,0.70,0.7945,0.0688,0.0603,11581.465,11.059,156.044
61.9,0.73,0.8124,0.0629,0.0567,10876.778,10.386,142.708
64.9,0.77,0.8272,0.0569,0.0527,10118.402,9.662,129.038
67.8,0.80,0.8409,0.0501,0.0477,9157.940,8.745,113.563
70.8,0.84,0.8505,0.0424,0.0416,7992.411,7.632,96.064
73.7,0.87,0.8514,0.0344,0.0352,6755.295,6.451,78.035
76.7,0.91,0.8399,0.0265,0.0286,5482.385,5.235,60.069
79.6,0.94,0.8008,0.0182,0.0214,4111.789,3.927,41.364
82.6,0.98,0.6425,0.0094,0.0142,2724.042,2.601,21.200
85.5,1.01,-0.0013,0.0000,0.0068,1310.940,1.252,-0.022
