# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0974,0.0374,10348.077,9.882,295.989
2.0,0.02,0.0562,0.0974,0.0378,10477.083,10.005,295.856
4.0,0.04,0.1108,0.0973,0.0384,10629.952,10.151,295.713
6.0,0.07,0.1633,0.0972,0.0390,10809.665,10.323,295.544
8.0,0.09,0.2137,0.0972,0.0398,11009.513,10.513,295.313
10.0,0.11,0.2619,0.0970,0.0405,11205.632,10.701,294.757
11.9,0.13,0.3084,0.0963,0.0410,11338.367,10.828,292.622
13.9,0.15,0.3532,0.0951,0.0412,11409.954,10.895,289.059
15.9,0.17,0.3961,0.0931,0.0411,11380.126,10.867,282.947
17.9,0.20,0.4374,0.0907,0.0408,11289.150,10.780,275.523
19.9,0.22,0.4771,0.0878,0.0402,11140.756,10.639,266.898
21.9,0.24,0.5146,0.0849,0.0397,10978.939,10.484,257.935
23.9,0.26,0.5503,0.0817,0.0390,10784.312,10.298,248.358
25.9,0.28,0.5838,0.0784,0.0382,10571.041,10.095,238.398
27.9,0.31,0.6153,0.0749,0.0373,10316.758,9.852,227.687
29.9,0.33,0.6446,0.0712,0.0362,10029.663,9.578,216.442
31.9,0.35,0.6718,0.0675,0.0351,9728.401,9.290,205.112
33.8,0.37,0.6963,0.0635,0.0339,9386.870,8.964,193.071
35.9,0.39,0.7172,0.0594,0.0326,9024.460,8.618,180.580
37.8,0.42,0.7382,0.0548,0.0308,8533.044,8.148,166.488
39.8,0.44,0.7579,0.0499,0.0288,7962.583,7.604,151.520
41.8,0.46,0.7745,0.0447,0.0265,7337.687,7.007,135.898
43.8,0.48,0.7868,0.0395,0.0241,6685.945,6.385,120.075
45.8,0.50,0.7945,0.0342,0.0216,5990.953,5.721,103.915
47.8,0.52,0.7956,0.0287,0.0190,5247.490,5.011,87.359
49.8,0.55,0.7867,0.0233,0.0162,4471.216,4.270,70.660
51.8,0.57,0.7599,0.0176,0.0132,3647.218,3.483,53.530
53.8,0.59,0.6968,0.0119,0.0100,2782.206,2.657,36.057
55.7,0.61,0.5348,0.0060,0.0068,1891.095,1.806,18.135
57.8,0.63,-0.0135,-0.0001,0.0036,985.815,0.941,-0.231
