# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0938,0.0466,1425.778,2.724,64.602
1.0,0.02,0.0468,0.0924,0.0451,1382.528,2.641,63.672
2.0,0.05,0.0950,0.0910,0.0438,1340.768,2.561,62.667
3.0,0.07,0.1445,0.0894,0.0424,1299.755,2.483,61.581
4.1,0.09,0.1949,0.0877,0.0412,1260.233,2.407,60.394
5.1,0.11,0.2459,0.0858,0.0399,1221.456,2.333,59.104
6.1,0.14,0.2972,0.0838,0.0387,1184.917,2.262,57.720
7.1,0.16,0.3483,0.0816,0.0375,1148.378,2.193,56.221
8.1,0.18,0.3988,0.0793,0.0364,1114.076,2.127,54.615
9.2,0.21,0.4480,0.0768,0.0353,1080.519,2.063,52.898
10.1,0.23,0.4956,0.0741,0.0342,1047.708,2.001,51.066
11.2,0.25,0.5409,0.0713,0.0332,1015.643,1.939,49.117
12.2,0.27,0.5834,0.0683,0.0321,984.324,1.879,47.062
13.2,0.30,0.6229,0.0652,0.0311,952.259,1.819,44.891
14.2,0.32,0.6589,0.0618,0.0300,920.194,1.757,42.596
15.2,0.34,0.6908,0.0583,0.0289,885.891,1.692,40.141
16.3,0.37,0.7178,0.0546,0.0278,852.335,1.628,37.623
17.3,0.39,0.7411,0.0509,0.0267,817.287,1.561,35.052
18.3,0.41,0.7619,0.0471,0.0254,778.511,1.487,32.428
19.3,0.43,0.7799,0.0432,0.0240,736.751,1.407,29.736
20.3,0.46,0.7951,0.0392,0.0225,689.772,1.318,26.987
21.4,0.48,0.8070,0.0351,0.0209,639.810,1.222,24.181
22.4,0.50,0.8148,0.0309,0.0191,585.374,1.118,21.320
23.4,0.53,0.8166,0.0267,0.0172,527.210,1.006,18.407
24.4,0.55,0.8096,0.0224,0.0152,465.317,0.889,15.440
25.4,0.57,0.7893,0.0180,0.0130,399.695,0.763,12.406
26.4,0.59,0.7511,0.0136,0.0108,329.599,0.629,9.364
27.4,0.62,0.6772,0.0091,0.0083,255.029,0.487,6.285
28.5,0.64,0.5097,0.0046,0.0058,176.731,0.337,3.163
29.5,0.66,-0.0013,0.0000,0.0031,96.195,0.183,-0.004
