# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0959,0.0466,3920.144,5.347,129.465
1.8,0.03,0.0597,0.0959,0.0470,3949.227,5.388,129.461
3.6,0.06,0.1185,0.0958,0.0473,3977.563,5.426,129.430
5.5,0.09,0.1764,0.0958,0.0477,4006.645,5.466,129.368
7.3,0.12,0.2333,0.0957,0.0480,4035.728,5.506,129.265
9.1,0.15,0.2891,0.0956,0.0484,4067.047,5.548,129.123
10.9,0.18,0.3435,0.0955,0.0488,4101.349,5.595,128.932
12.7,0.20,0.3965,0.0952,0.0492,4135.651,5.642,128.616
14.6,0.23,0.4476,0.0947,0.0496,4163.988,5.681,127.940
16.4,0.26,0.4969,0.0932,0.0494,4149.820,5.661,125.787
18.2,0.29,0.5439,0.0907,0.0488,4103.586,5.598,122.535
20.0,0.32,0.5863,0.0879,0.0483,4054.370,5.531,118.674
21.9,0.35,0.6251,0.0846,0.0476,3996.206,5.452,114.302
23.7,0.38,0.6610,0.0811,0.0467,3924.618,5.353,109.551
25.5,0.41,0.6945,0.0773,0.0456,3834.389,5.230,104.431
27.3,0.44,0.7248,0.0733,0.0444,3729.245,5.087,98.928
29.1,0.47,0.7520,0.0688,0.0428,3600.239,4.912,92.914
31.0,0.50,0.7765,0.0641,0.0411,3453.336,4.711,86.611
32.8,0.53,0.7991,0.0594,0.0391,3289.282,4.487,80.170
34.6,0.56,0.8190,0.0545,0.0370,3108.823,4.241,73.578
36.4,0.59,0.8370,0.0495,0.0346,2908.975,3.968,66.839
38.3,0.61,0.8531,0.0444,0.0320,2687.502,3.667,59.949
40.1,0.64,0.8663,0.0392,0.0291,2446.641,3.338,52.903
41.9,0.67,0.8757,0.0339,0.0261,2190.121,2.988,45.781
43.7,0.70,0.8799,0.0285,0.0228,1913.466,2.610,38.517
45.6,0.73,0.8768,0.0230,0.0192,1613.695,2.201,31.071
47.3,0.76,0.8624,0.0174,0.0154,1290.806,1.760,23.504
49.2,0.79,0.8248,0.0117,0.0112,941.073,1.284,15.782
51.0,0.82,0.7108,0.0059,0.0068,570.460,0.778,7.945
52.8,0.85,-0.0047,0.0000,0.0036,301.263,0.411,-0.027
