# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1032,0.0369,2461.555,3.917,123.358
1.5,0.03,0.0723,0.1023,0.0377,2520.466,4.012,122.291
3.0,0.05,0.1400,0.1011,0.0385,2572.665,4.094,120.872
4.5,0.08,0.2035,0.0997,0.0392,2616.661,4.165,119.119
5.9,0.11,0.2629,0.0980,0.0397,2653.946,4.224,117.091
7.5,0.13,0.3186,0.0961,0.0402,2683.774,4.272,114.786
8.9,0.16,0.3707,0.0939,0.0405,2706.145,4.307,112.220
10.4,0.19,0.4194,0.0915,0.0407,2720.313,4.330,109.395
11.9,0.21,0.4649,0.0890,0.0408,2726.279,4.339,106.321
13.4,0.24,0.5073,0.0862,0.0408,2722.550,4.333,103.003
14.9,0.27,0.5468,0.0832,0.0406,2709.873,4.313,99.440
16.4,0.29,0.5835,0.0800,0.0402,2686.011,4.275,95.628
17.9,0.32,0.6175,0.0766,0.0397,2650.963,4.219,91.562
19.4,0.35,0.6491,0.0730,0.0390,2603.238,4.143,87.239
20.9,0.37,0.6783,0.0692,0.0381,2543.582,4.048,82.710
22.4,0.40,0.7053,0.0653,0.0370,2473.486,3.937,78.066
23.8,0.43,0.7301,0.0613,0.0358,2393.697,3.809,73.302
25.3,0.45,0.7526,0.0573,0.0345,2302.721,3.665,68.418
26.8,0.48,0.7726,0.0531,0.0330,2201.306,3.504,63.418
28.3,0.51,0.7883,0.0488,0.0314,2093.180,3.332,58.294
29.8,0.53,0.7985,0.0444,0.0296,1978.342,3.149,53.018
31.3,0.56,0.8050,0.0399,0.0277,1850.827,2.946,47.623
32.8,0.59,0.8073,0.0352,0.0256,1709.890,2.721,42.116
34.3,0.61,0.8044,0.0305,0.0233,1554.784,2.475,36.498
35.8,0.64,0.7942,0.0257,0.0207,1385.510,2.205,30.768
37.2,0.67,0.7734,0.0209,0.0180,1201.322,1.911,24.937
38.8,0.69,0.7318,0.0159,0.0150,1003.712,1.597,18.963
40.2,0.72,0.6434,0.0107,0.0120,800.882,1.275,12.811
41.7,0.75,0.4404,0.0054,0.0092,612.220,0.975,6.468
43.2,0.77,-0.0062,-0.0001,0.0067,450.403,0.717,-0.062
