# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1202,0.0745,149.140,0.059,4.995
2.2,0.05,0.0722,0.1204,0.0763,152.868,0.061,5.004
4.4,0.09,0.1412,0.1206,0.0783,156.597,0.062,5.013
6.6,0.14,0.2067,0.1209,0.0803,161.071,0.064,5.022
8.9,0.18,0.2688,0.1212,0.0825,165.545,0.066,5.035
11.0,0.23,0.3275,0.1214,0.0849,170.020,0.068,5.044
13.3,0.27,0.3828,0.1217,0.0873,175.239,0.070,5.058
15.5,0.32,0.4348,0.1221,0.0900,180.459,0.072,5.071
17.7,0.37,0.4834,0.1223,0.0927,185.679,0.074,5.084
19.9,0.41,0.5290,0.1224,0.0954,190.899,0.076,5.089
22.1,0.46,0.5716,0.1223,0.0979,196.119,0.078,5.080
24.3,0.50,0.6112,0.1218,0.1003,201.339,0.080,5.062
26.5,0.55,0.6479,0.1208,0.1024,205.067,0.082,5.022
28.7,0.60,0.6816,0.1193,0.1042,208.796,0.083,4.960
30.9,0.64,0.7123,0.1172,0.1055,211.779,0.084,4.871
33.1,0.69,0.7400,0.1144,0.1062,213.270,0.085,4.755
35.4,0.73,0.7649,0.1106,0.1060,212.524,0.085,4.599
37.6,0.78,0.7876,0.1042,0.1030,206.559,0.082,4.328
39.8,0.82,0.8073,0.0965,0.0985,197.610,0.079,4.008
42.0,0.87,0.8240,0.0884,0.0933,187.171,0.074,3.674
44.2,0.92,0.8377,0.0802,0.0876,175.985,0.070,3.332
46.4,0.96,0.8488,0.0717,0.0812,162.563,0.065,2.980
48.6,1.01,0.8576,0.0630,0.0740,148.394,0.059,2.620
50.8,1.05,0.8642,0.0542,0.0661,132.735,0.053,2.251
53.0,1.10,0.8689,0.0452,0.0572,114.838,0.046,1.882
55.3,1.14,0.8693,0.0361,0.0476,95.450,0.038,1.499
57.4,1.19,0.8617,0.0270,0.0373,74.570,0.030,1.121
59.6,1.24,0.8365,0.0182,0.0269,53.690,0.021,0.756
61.9,1.28,0.7501,0.0091,0.0155,31.319,0.012,0.378
64.1,1.33,-0.1812,-0.0007,0.0049,9.694,0.004,-0.027
