# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1202,0.0789,225.201,0.080,6.321
2.8,0.05,0.0764,0.1205,0.0810,231.167,0.082,6.339
5.6,0.10,0.1489,0.1208,0.0834,237.878,0.084,6.352
8.4,0.15,0.2175,0.1211,0.0858,245.335,0.087,6.370
11.2,0.21,0.2821,0.1214,0.0885,252.792,0.089,6.388
13.9,0.26,0.3427,0.1218,0.0913,260.995,0.092,6.405
16.7,0.31,0.3995,0.1222,0.0943,269.198,0.095,6.428
19.5,0.36,0.4523,0.1226,0.0975,278.146,0.098,6.445
22.3,0.41,0.5014,0.1230,0.1009,287.840,0.102,6.472
25.1,0.46,0.5469,0.1235,0.1044,298.280,0.105,6.494
27.9,0.51,0.5888,0.1240,0.1082,308.720,0.109,6.521
30.7,0.57,0.6273,0.1245,0.1122,319.905,0.113,6.548
33.5,0.62,0.6628,0.1248,0.1161,331.836,0.117,6.566
36.3,0.67,0.6956,0.1248,0.1198,342.276,0.121,6.561
39.1,0.72,0.7257,0.1242,0.1231,351.225,0.124,6.530
41.8,0.77,0.7531,0.1227,0.1256,358.682,0.127,6.450
44.6,0.82,0.7778,0.1201,0.1270,362.410,0.128,6.316
47.4,0.87,0.8002,0.1161,0.1267,361.664,0.128,6.103
50.2,0.92,0.8212,0.1089,0.1226,350.479,0.124,5.725
53.0,0.98,0.8399,0.0999,0.1162,331.836,0.117,5.258
55.8,1.03,0.8558,0.0909,0.1091,311.703,0.110,4.777
58.6,1.08,0.8692,0.0816,0.1013,289.332,0.102,4.288
61.4,1.13,0.8805,0.0721,0.0926,263.978,0.093,3.790
64.2,1.18,0.8894,0.0624,0.0829,236.387,0.084,3.283
67.0,1.23,0.8963,0.0525,0.0722,206.559,0.073,2.762
69.7,1.28,0.9006,0.0423,0.0604,172.257,0.061,2.224
72.5,1.34,0.8988,0.0319,0.0474,135.717,0.048,1.677
75.3,1.39,0.8761,0.0214,0.0339,96.941,0.034,1.125
78.1,1.44,0.7739,0.0107,0.0199,56.673,0.020,0.565
80.9,1.49,-0.0147,-0.0001,0.0073,20.880,0.007,-0.004
