# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2319,0.6412,10952.840,2.324,41.582
3.8,0.04,0.0147,0.2317,0.6174,10545.688,2.238,41.551
7.5,0.08,0.0307,0.2312,0.5915,10104.979,2.144,41.457
11.2,0.12,0.0481,0.2301,0.5637,9628.477,2.043,41.275
15.0,0.16,0.0673,0.2287,0.5341,9122.892,1.936,41.013
18.7,0.20,0.0885,0.2268,0.5032,8595.682,1.824,40.666
22.4,0.24,0.1121,0.2244,0.4718,8058.779,1.710,40.239
26.2,0.28,0.1385,0.2215,0.4399,7514.418,1.595,39.723
30.0,0.31,0.1684,0.2180,0.4071,6953.651,1.476,39.100
33.7,0.35,0.2022,0.2140,0.3743,6393.631,1.357,38.388
37.4,0.39,0.2409,0.2095,0.3417,5837.339,1.239,37.574
41.2,0.43,0.2854,0.2046,0.3098,5292.232,1.123,36.689
44.9,0.47,0.3368,0.1991,0.2787,4761.294,1.010,35.701
48.6,0.51,0.3962,0.1931,0.2490,4253.472,0.903,34.638
52.4,0.55,0.4648,0.1868,0.2211,3777.716,0.802,33.508
56.1,0.59,0.5411,0.1804,0.1965,3356.395,0.712,32.352
59.9,0.63,0.6281,0.1664,0.1665,2844.099,0.604,29.834
63.6,0.67,0.6632,0.1636,0.1647,2814.271,0.597,29.332
67.4,0.71,0.7028,0.1503,0.1512,2583.104,0.548,26.947
71.1,0.75,0.7298,0.1356,0.1387,2369.088,0.503,24.318
74.8,0.79,0.7531,0.1236,0.1290,2202.797,0.468,22.165
78.6,0.83,0.7710,0.1138,0.1218,2079.757,0.441,20.404
82.3,0.86,0.7833,0.1023,0.1129,1927.634,0.409,18.340
86.1,0.90,0.7933,0.0890,0.1013,1731.515,0.367,15.956
89.8,0.94,0.7962,0.0754,0.0893,1525.702,0.324,13.523
93.6,0.98,0.7735,0.0569,0.0723,1234.879,0.262,10.204
97.3,1.02,0.7135,0.0403,0.0577,985.070,0.209,7.224
101.0,1.06,0.6763,0.0306,0.0480,820.270,0.174,5.489
104.8,1.10,0.5009,0.0145,0.0318,542.870,0.115,2.593
108.5,1.14,-0.0356,-0.0006,0.0176,301.263,0.064,-0.098
