# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0902,0.0565,0.746,0.002,0.129
0.2,0.02,0.0370,0.0901,0.0566,0.746,0.002,0.129
0.4,0.05,0.0738,0.0900,0.0567,0.746,0.002,0.129
0.6,0.07,0.1104,0.0899,0.0568,0.746,0.002,0.129
0.8,0.09,0.1468,0.0898,0.0568,0.746,0.002,0.129
1.0,0.12,0.1830,0.0896,0.0569,0.746,0.002,0.129
1.2,0.14,0.2190,0.0895,0.0570,0.746,0.002,0.125
1.4,0.16,0.2547,0.0892,0.0570,0.746,0.002,0.125
1.6,0.19,0.2902,0.0889,0.0570,0.746,0.002,0.125
1.8,0.21,0.3253,0.0885,0.0569,0.746,0.002,0.125
2.0,0.23,0.3600,0.0878,0.0567,0.746,0.002,0.125
2.1,0.26,0.3942,0.0868,0.0563,0.746,0.002,0.125
2.4,0.28,0.4273,0.0853,0.0557,0.746,0.002,0.120
2.5,0.30,0.4590,0.0829,0.0546,0.746,0.002,0.116
2.8,0.33,0.4883,0.0795,0.0530,0.746,0.001,0.111
3.0,0.35,0.5148,0.0750,0.0508,0.746,0.001,0.107
3.1,0.37,0.5397,0.0705,0.0486,0.746,0.001,0.098
3.4,0.40,0.5616,0.0658,0.0463,0.746,0.001,0.093
3.5,0.42,0.5773,0.0609,0.0442,0.746,0.001,0.085
3.8,0.44,0.5893,0.0560,0.0419,0.746,0.001,0.080
3.9,0.46,0.5980,0.0509,0.0395,0.746,0.001,0.071
4.1,0.49,0.6028,0.0457,0.0370,0.746,0.001,0.067
4.3,0.51,0.6030,0.0403,0.0342,0.746,0.001,0.058
4.5,0.53,0.5964,0.0349,0.0313,0.746,0.001,0.049
4.7,0.56,0.5801,0.0294,0.0282,0.000,0.001,0.040
4.9,0.58,0.5496,0.0237,0.0251,0.000,0.001,0.036
5.1,0.60,0.4966,0.0180,0.0219,0.000,0.001,0.027
5.3,0.63,0.4063,0.0121,0.0186,0.000,0.001,0.018
5.5,0.65,0.2541,0.0061,0.0156,0.000,0.000,0.009
5.7,0.67,-0.0025,0.0000,0.0127,0.000,0.000,0.000
