# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1026,0.0595,113.346,0.078,5.084
1.6,0.04,0.0694,0.1027,0.0608,116.329,0.079,5.093
3.2,0.08,0.1360,0.1029,0.0621,118.566,0.081,5.102
4.7,0.12,0.1997,0.1031,0.0636,121.549,0.083,5.111
6.3,0.16,0.2605,0.1033,0.0651,124.532,0.085,5.120
7.9,0.21,0.3181,0.1034,0.0668,127.515,0.087,5.129
9.5,0.25,0.3729,0.1036,0.0684,130.497,0.089,5.133
11.1,0.29,0.4245,0.1037,0.0702,134.226,0.091,5.138
12.7,0.33,0.4732,0.1037,0.0720,137.209,0.094,5.142
14.3,0.37,0.5189,0.1037,0.0738,140.937,0.096,5.138
15.8,0.41,0.5617,0.1036,0.0757,144.666,0.099,5.133
17.4,0.45,0.6016,0.1033,0.0776,148.394,0.101,5.124
19.0,0.49,0.6388,0.1029,0.0794,151.377,0.103,5.102
20.6,0.53,0.6732,0.1023,0.0811,155.106,0.106,5.071
22.1,0.57,0.7049,0.1011,0.0824,157.343,0.107,5.013
23.7,0.62,0.7340,0.0988,0.0829,158.088,0.108,4.897
25.3,0.66,0.7603,0.0950,0.0821,156.597,0.107,4.711
26.9,0.70,0.7838,0.0891,0.0793,151.377,0.103,4.417
28.5,0.74,0.8035,0.0824,0.0758,144.666,0.099,4.083
30.0,0.78,0.8193,0.0756,0.0720,137.209,0.094,3.745
31.7,0.82,0.8314,0.0687,0.0679,129.752,0.088,3.407
33.2,0.86,0.8402,0.0617,0.0633,120.803,0.082,3.056
34.8,0.90,0.8462,0.0545,0.0582,111.109,0.076,2.700
36.4,0.94,0.8495,0.0471,0.0524,99.924,0.068,2.335
38.0,0.99,0.8499,0.0396,0.0459,87.993,0.060,1.962
39.6,1.03,0.8434,0.0319,0.0388,73.824,0.051,1.579
41.1,1.07,0.8253,0.0241,0.0312,59.656,0.041,1.192
42.7,1.11,0.7735,0.0161,0.0231,43.996,0.030,0.796
44.3,1.15,0.6239,0.0081,0.0149,28.337,0.019,0.400
45.9,1.19,-0.0013,0.0000,0.0070,13.423,0.009,0.000
