# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1376,0.0865,0.746,0.004,0.236
0.3,0.04,0.0676,0.1378,0.0884,0.746,0.005,0.236
0.5,0.09,0.1323,0.1380,0.0904,0.746,0.005,0.236
0.8,0.13,0.1942,0.1380,0.0924,0.746,0.005,0.236
1.1,0.17,0.2533,0.1378,0.0943,0.746,0.005,0.236
1.3,0.22,0.3095,0.1374,0.0962,0.746,0.005,0.236
1.6,0.26,0.3630,0.1368,0.0980,0.746,0.005,0.231
1.9,0.30,0.4135,0.1360,0.0998,0.746,0.005,0.231
2.2,0.35,0.4613,0.1349,0.1014,0.746,0.005,0.231
2.5,0.39,0.5061,0.1336,0.1029,0.746,0.005,0.227
2.7,0.43,0.5482,0.1319,0.1042,0.746,0.005,0.222
3.0,0.48,0.5874,0.1298,0.1053,1.491,0.005,0.222
3.3,0.52,0.6237,0.1272,0.1061,1.491,0.005,0.218
3.5,0.56,0.6572,0.1241,0.1064,1.491,0.005,0.209
3.8,0.61,0.6877,0.1204,0.1063,1.491,0.005,0.205
4.1,0.65,0.7153,0.1158,0.1053,1.491,0.005,0.196
4.3,0.69,0.7399,0.1104,0.1035,0.746,0.005,0.187
4.6,0.74,0.7612,0.1043,0.1010,0.746,0.005,0.178
4.9,0.78,0.7794,0.0973,0.0974,0.746,0.005,0.165
5.1,0.82,0.7949,0.0892,0.0924,0.746,0.005,0.151
5.4,0.87,0.8076,0.0810,0.0870,0.746,0.004,0.138
5.7,0.91,0.8178,0.0727,0.0810,0.746,0.004,0.125
6.0,0.95,0.8258,0.0643,0.0742,0.746,0.004,0.111
6.3,1.00,0.8320,0.0556,0.0666,0.746,0.003,0.093
6.5,1.04,0.8356,0.0467,0.0582,0.746,0.003,0.080
6.8,1.08,0.8342,0.0377,0.0489,0.746,0.002,0.062
7.1,1.13,0.8232,0.0284,0.0389,0.746,0.002,0.049
7.3,1.17,0.7909,0.0191,0.0283,0.000,0.001,0.031
7.6,1.21,0.6934,0.0097,0.0169,0.000,0.001,0.018
7.9,1.26,0.0017,0.0000,0.0051,0.000,0.000,0.000
