# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0998,0.0370,73.079,0.069,5.792
0.8,0.02,0.0599,0.0984,0.0373,73.079,0.070,5.712
1.5,0.05,0.1171,0.0968,0.0375,73.824,0.070,5.618
2.3,0.07,0.1717,0.0951,0.0377,73.824,0.071,5.516
3.1,0.09,0.2237,0.0932,0.0378,74.570,0.071,5.409
3.8,0.11,0.2731,0.0911,0.0378,74.570,0.071,5.289
4.6,0.14,0.3199,0.0889,0.0378,74.570,0.071,5.155
5.4,0.16,0.3641,0.0864,0.0377,73.824,0.071,5.018
6.2,0.18,0.4057,0.0838,0.0375,73.824,0.070,4.862
6.9,0.20,0.4446,0.0809,0.0372,73.079,0.070,4.697
7.7,0.23,0.4809,0.0778,0.0367,72.333,0.069,4.515
8.4,0.25,0.5145,0.0745,0.0361,70.841,0.068,4.324
9.2,0.27,0.5454,0.0711,0.0355,70.096,0.067,4.128
10.0,0.29,0.5737,0.0676,0.0348,68.604,0.065,3.923
10.8,0.32,0.5993,0.0640,0.0339,66.367,0.064,3.719
11.5,0.34,0.6222,0.0604,0.0330,64.876,0.062,3.505
12.3,0.36,0.6426,0.0566,0.0320,62.639,0.060,3.287
13.1,0.39,0.6603,0.0528,0.0308,60.402,0.058,3.065
13.8,0.41,0.6755,0.0488,0.0295,58.165,0.055,2.834
14.6,0.43,0.6880,0.0448,0.0281,55.182,0.053,2.598
15.4,0.45,0.6975,0.0406,0.0264,52.199,0.050,2.358
16.1,0.48,0.7032,0.0364,0.0246,48.470,0.046,2.113
16.9,0.50,0.7053,0.0320,0.0227,44.742,0.043,1.859
17.7,0.52,0.7021,0.0276,0.0205,40.268,0.039,1.601
18.5,0.54,0.6911,0.0231,0.0182,35.794,0.034,1.339
19.2,0.57,0.6657,0.0185,0.0158,31.319,0.030,1.076
20.0,0.59,0.6169,0.0139,0.0133,26.099,0.025,0.810
20.7,0.61,0.5282,0.0093,0.0108,20.880,0.020,0.538
21.5,0.64,0.3605,0.0047,0.0083,16.405,0.015,0.271
22.3,0.66,-0.0077,-0.0001,0.0058,11.185,0.011,-0.004
