# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1761,0.0897,11.185,0.022,1.499
0.4,0.03,0.0559,0.1735,0.0899,11.185,0.022,1.477
0.8,0.06,0.1097,0.1706,0.0901,11.185,0.022,1.450
1.3,0.09,0.1614,0.1674,0.0901,11.185,0.022,1.423
1.7,0.12,0.2110,0.1640,0.0901,11.185,0.022,1.397
2.1,0.14,0.2583,0.1603,0.0899,11.185,0.022,1.361
2.6,0.17,0.3033,0.1564,0.0896,11.185,0.022,1.330
3.0,0.20,0.3460,0.1522,0.0892,11.185,0.021,1.294
3.4,0.23,0.3863,0.1476,0.0886,11.185,0.021,1.254
3.8,0.26,0.4240,0.1426,0.0877,11.185,0.021,1.214
4.3,0.29,0.4590,0.1373,0.0867,11.185,0.021,1.170
4.7,0.32,0.4915,0.1318,0.0855,10.440,0.021,1.121
5.1,0.35,0.5215,0.1262,0.0841,10.440,0.020,1.072
5.6,0.38,0.5488,0.1203,0.0826,10.440,0.020,1.023
6.0,0.41,0.5737,0.1143,0.0808,10.440,0.019,0.974
6.4,0.43,0.5962,0.1082,0.0789,9.694,0.019,0.921
6.9,0.46,0.6164,0.1018,0.0766,9.694,0.018,0.867
7.3,0.49,0.6342,0.0951,0.0739,8.948,0.018,0.810
7.7,0.52,0.6504,0.0881,0.0707,8.948,0.017,0.752
8.1,0.55,0.6644,0.0810,0.0671,8.203,0.016,0.689
8.6,0.58,0.6763,0.0737,0.0631,8.203,0.015,0.627
9.0,0.61,0.6847,0.0661,0.0587,7.457,0.014,0.560
9.4,0.64,0.6887,0.0583,0.0539,6.711,0.013,0.494
9.9,0.67,0.6875,0.0503,0.0488,5.966,0.012,0.427
10.3,0.70,0.6773,0.0423,0.0434,5.220,0.011,0.360
10.7,0.72,0.6521,0.0341,0.0379,4.474,0.009,0.289
11.2,0.75,0.6029,0.0258,0.0322,3.728,0.008,0.218
11.6,0.78,0.5133,0.0174,0.0265,2.983,0.006,0.147
12.0,0.81,0.3428,0.0087,0.0207,2.237,0.005,0.076
12.4,0.84,0.0042,0.0001,0.0149,2.237,0.004,0.000
