# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.2138,0.1900,331.091,0.263,10.476
1.6,0.05,0.0507,0.2135,0.1897,330.345,0.263,10.462
3.2,0.09,0.1013,0.2132,0.1895,330.345,0.263,10.444
4.8,0.14,0.1517,0.2127,0.1894,329.599,0.263,10.422
6.4,0.18,0.2017,0.2122,0.1894,329.599,0.263,10.395
8.0,0.23,0.2514,0.2115,0.1894,329.599,0.263,10.364
9.6,0.27,0.3004,0.2106,0.1893,329.599,0.262,10.320
11.2,0.32,0.3488,0.2094,0.1892,329.599,0.262,10.262
12.8,0.36,0.3963,0.2079,0.1889,328.854,0.262,10.186
14.4,0.41,0.4430,0.2058,0.1882,328.108,0.261,10.084
16.0,0.45,0.4887,0.2032,0.1872,325.871,0.260,9.955
17.6,0.50,0.5332,0.1998,0.1855,322.888,0.257,9.786
19.2,0.54,0.5764,0.1950,0.1828,318.414,0.253,9.555
20.8,0.59,0.6177,0.1881,0.1781,310.211,0.247,9.212
22.4,0.63,0.6557,0.1776,0.1707,297.534,0.237,8.705
24.0,0.68,0.6867,0.1673,0.1644,286.349,0.228,8.194
25.6,0.72,0.7123,0.1567,0.1584,275.909,0.220,7.678
27.2,0.77,0.7354,0.1458,0.1517,263.978,0.210,7.144
28.8,0.81,0.7557,0.1346,0.1443,251.301,0.200,6.597
30.4,0.86,0.7723,0.1231,0.1363,237.878,0.189,6.032
32.0,0.90,0.7845,0.1113,0.1277,222.219,0.177,5.449
33.6,0.95,0.7913,0.0991,0.1184,206.559,0.164,4.857
35.2,0.99,0.7907,0.0867,0.1086,189.408,0.151,4.248
36.8,1.04,0.7800,0.0741,0.0984,171.511,0.136,3.630
38.4,1.08,0.7558,0.0615,0.0880,152.868,0.122,3.016
40.0,1.13,0.7118,0.0489,0.0774,134.972,0.107,2.398
41.6,1.17,0.6378,0.0364,0.0668,116.329,0.093,1.784
43.2,1.22,0.5197,0.0242,0.0567,98.432,0.079,1.188
44.8,1.26,0.3260,0.0121,0.0467,81.281,0.065,0.592
46.4,1.31,0.0009,0.0000,0.0373,64.876,0.052,0.000
