# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0993,0.2407,9010.292,3.741,43.633
3.2,0.04,0.0158,0.1000,0.2387,8937.213,3.711,43.953
6.4,0.08,0.0327,0.1005,0.2318,8677.709,3.603,44.153
9.7,0.11,0.0505,0.1010,0.2269,8493.522,3.526,44.389
12.9,0.15,0.0687,0.1016,0.2234,8364.515,3.473,44.665
16.1,0.19,0.0890,0.1020,0.2163,8097.555,3.362,44.816
19.3,0.23,0.1103,0.1023,0.2103,7873.099,3.269,44.967
22.5,0.26,0.1341,0.1024,0.2019,7559.160,3.138,45.012
25.7,0.30,0.1599,0.1024,0.1935,7243.729,3.008,45.007
29.0,0.34,0.1915,0.1020,0.1809,6773.938,2.812,44.802
32.2,0.38,0.2235,0.1016,0.1717,6427.933,2.669,44.638
35.4,0.42,0.2567,0.1012,0.1637,6128.162,2.544,44.447
38.6,0.45,0.2963,0.1004,0.1536,5748.600,2.387,44.104
41.8,0.49,0.3385,0.0995,0.1443,5401.104,2.243,43.713
45.1,0.53,0.3877,0.0983,0.1340,5017.069,2.083,43.179
48.3,0.57,0.4386,0.0970,0.1253,4690.452,1.947,42.623
51.5,0.60,0.4881,0.0957,0.1185,4436.914,1.842,42.067
54.7,0.64,0.5323,0.0942,0.1137,4254.218,1.766,41.400
57.9,0.68,0.5950,0.0915,0.1046,3914.924,1.626,40.221
61.2,0.72,0.6781,0.0877,0.0928,3472.724,1.442,38.522
64.4,0.76,0.7612,0.0839,0.0810,3030.524,1.258,36.822
67.6,0.79,0.7943,0.0751,0.0750,2806.814,1.165,32.992
70.8,0.83,0.8039,0.0685,0.0708,2648.726,1.100,30.079
74.0,0.87,0.8062,0.0595,0.0641,2401.154,0.997,26.156
77.2,0.91,0.8269,0.0504,0.0553,2068.571,0.859,22.152
80.4,0.94,0.8317,0.0421,0.0478,1789.680,0.743,18.505
83.6,0.98,0.8381,0.0310,0.0378,1417.824,0.589,13.641
86.9,1.02,0.7337,0.0217,0.0302,1131.227,0.470,9.555
90.1,1.06,0.5411,0.0110,0.0215,804.610,0.334,4.831
93.3,1.10,0.0172,0.0002,0.0115,432.506,0.179,0.080
