# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0956,0.1292,2725.533,1.370,28.651
3.2,0.04,0.0337,0.0959,0.1277,2694.214,1.354,28.767
6.3,0.09,0.0685,0.0963,0.1260,2658.420,1.336,28.882
9.5,0.13,0.1044,0.0967,0.1245,2627.101,1.321,28.998
12.6,0.18,0.1412,0.0971,0.1232,2601.001,1.307,29.114
15.8,0.22,0.1793,0.0974,0.1218,2569.682,1.291,29.220
18.9,0.27,0.2183,0.0978,0.1204,2540.599,1.277,29.318
22.1,0.31,0.2581,0.0981,0.1192,2515.246,1.264,29.412
25.2,0.36,0.2998,0.0983,0.1175,2480.198,1.247,29.478
28.4,0.40,0.3415,0.0985,0.1163,2454.098,1.234,29.541
31.5,0.45,0.3851,0.0986,0.1147,2421.287,1.217,29.572
34.7,0.49,0.4299,0.0986,0.1131,2386.240,1.199,29.576
37.8,0.54,0.4761,0.0985,0.1112,2346.717,1.180,29.527
41.0,0.58,0.5230,0.0981,0.1093,2306.450,1.159,29.429
44.1,0.63,0.5711,0.0974,0.1070,2258.725,1.135,29.220
47.3,0.67,0.6193,0.0961,0.1043,2201.306,1.106,28.820
50.4,0.72,0.6686,0.0942,0.1010,2131.956,1.072,28.255
53.6,0.76,0.7173,0.0917,0.0974,2055.149,1.033,27.503
56.8,0.81,0.7653,0.0883,0.0931,1964.919,0.987,26.489
59.9,0.85,0.8096,0.0837,0.0880,1856.793,0.933,25.097
63.1,0.90,0.8465,0.0774,0.0819,1729.278,0.869,23.211
66.2,0.94,0.8718,0.0694,0.0748,1579.392,0.794,20.795
69.4,0.99,0.8844,0.0613,0.0683,1442.184,0.725,18.384
72.5,1.03,0.8891,0.0531,0.0615,1298.263,0.652,15.911
75.7,1.08,0.8827,0.0447,0.0545,1149.869,0.578,13.411
78.8,1.12,0.8603,0.0362,0.0471,994.764,0.500,10.858
82.0,1.16,0.8121,0.0275,0.0395,832.947,0.418,8.247
85.1,1.21,0.7169,0.0186,0.0314,663.673,0.334,5.587
88.3,1.25,0.5135,0.0095,0.0231,488.433,0.245,2.838
91.4,1.30,0.0026,0.0000,0.0150,317.668,0.160,0.009
