# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0936,0.0938,2549.548,1.014,31.280
2.0,0.02,0.0256,0.0935,0.0903,2454.098,0.977,31.253
4.0,0.05,0.0529,0.0934,0.0874,2374.308,0.945,31.231
6.0,0.07,0.0827,0.0933,0.0838,2275.876,0.906,31.191
8.0,0.10,0.1150,0.0932,0.0802,2178.189,0.867,31.142
10.1,0.12,0.1511,0.0930,0.0761,2068.571,0.823,31.080
12.1,0.15,0.1903,0.0927,0.0724,1966.411,0.783,31.009
14.1,0.17,0.2337,0.0925,0.0686,1862.758,0.741,30.924
16.1,0.20,0.2845,0.0922,0.0641,1742.701,0.694,30.817
18.1,0.22,0.3458,0.0918,0.0591,1606.238,0.639,30.684
20.1,0.25,0.4073,0.0906,0.0550,1495.128,0.595,30.275
22.1,0.27,0.4772,0.0878,0.0501,1361.648,0.542,29.363
24.1,0.30,0.5356,0.0840,0.0466,1265.453,0.504,28.086
26.2,0.32,0.5783,0.0798,0.0444,1206.542,0.480,26.685
28.2,0.35,0.6089,0.0754,0.0429,1165.529,0.464,25.195
30.2,0.37,0.6455,0.0708,0.0407,1105.873,0.440,23.656
32.2,0.40,0.6744,0.0663,0.0389,1057.402,0.421,22.157
34.2,0.42,0.7010,0.0617,0.0370,1006.695,0.401,20.640
36.2,0.45,0.7259,0.0571,0.0350,952.259,0.379,19.087
38.2,0.47,0.7492,0.0523,0.0328,891.857,0.355,17.486
40.2,0.49,0.7700,0.0474,0.0305,827.727,0.329,15.845
42.2,0.52,0.7880,0.0424,0.0280,759.868,0.302,14.176
44.3,0.54,0.7983,0.0375,0.0255,694.247,0.276,12.522
46.3,0.57,0.8001,0.0325,0.0231,628.625,0.250,10.867
48.3,0.59,0.7929,0.0274,0.0205,558.529,0.222,9.172
50.3,0.62,0.7708,0.0223,0.0179,485.451,0.193,7.446
52.3,0.64,0.7214,0.0170,0.0151,410.881,0.163,5.667
54.3,0.67,0.6155,0.0115,0.0125,339.293,0.135,3.843
56.3,0.69,0.4111,0.0058,0.0098,266.961,0.106,1.948
58.3,0.72,-0.0061,-0.0001,0.0070,190.153,0.076,-0.018
