# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1110,0.1329,1791.171,0.900,23.255
2.7,0.04,0.0358,0.1113,0.1310,1765.817,0.887,23.322
5.4,0.08,0.0728,0.1116,0.1291,1740.464,0.875,23.384
8.1,0.13,0.1111,0.1119,0.1273,1715.855,0.862,23.442
10.8,0.17,0.1506,0.1121,0.1254,1690.502,0.850,23.500
13.5,0.21,0.1916,0.1124,0.1235,1664.402,0.837,23.544
16.3,0.25,0.2339,0.1126,0.1216,1639.048,0.824,23.584
19.0,0.29,0.2777,0.1127,0.1196,1612.949,0.811,23.616
21.7,0.34,0.3230,0.1128,0.1176,1585.358,0.797,23.625
24.4,0.38,0.3697,0.1127,0.1155,1557.021,0.783,23.611
27.1,0.42,0.4181,0.1125,0.1133,1527.193,0.768,23.567
29.8,0.46,0.4679,0.1121,0.1110,1496.620,0.752,23.496
32.5,0.51,0.5196,0.1116,0.1085,1463.063,0.735,23.380
35.2,0.55,0.5730,0.1108,0.1058,1426.524,0.717,23.211
37.9,0.59,0.6276,0.1097,0.1030,1389.239,0.698,22.988
40.6,0.63,0.6831,0.1082,0.1000,1348.225,0.678,22.664
43.4,0.67,0.7377,0.1052,0.0960,1295.281,0.651,22.036
46.0,0.72,0.7859,0.0991,0.0902,1216.236,0.611,20.755
48.8,0.76,0.8153,0.0914,0.0849,1145.395,0.576,19.145
51.5,0.80,0.8349,0.0839,0.0804,1083.502,0.545,17.575
54.2,0.84,0.8529,0.0762,0.0752,1014.152,0.510,15.969
56.9,0.88,0.8683,0.0684,0.0696,938.836,0.472,14.332
59.6,0.93,0.8816,0.0604,0.0635,856.063,0.430,12.664
62.3,0.97,0.8922,0.0523,0.0568,765.834,0.385,10.965
65.0,1.01,0.9002,0.0441,0.0495,666.656,0.335,9.230
67.7,1.05,0.9009,0.0356,0.0416,561.512,0.282,7.464
70.5,1.09,0.8905,0.0270,0.0332,447.420,0.225,5.658
73.1,1.14,0.8482,0.0182,0.0244,328.854,0.165,3.817
75.9,1.18,0.7051,0.0092,0.0154,208.050,0.105,1.931
78.6,1.22,-0.0016,0.0000,0.0065,87.247,0.044,0.000
