# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1210,0.0486,115.583,0.138,8.932
0.8,0.03,0.0624,0.1200,0.0494,117.075,0.140,8.865
1.7,0.05,0.1219,0.1190,0.0502,119.312,0.142,8.785
2.5,0.08,0.1784,0.1177,0.0508,120.803,0.144,8.692
3.3,0.10,0.2322,0.1161,0.0514,122.295,0.146,8.576
4.1,0.13,0.2833,0.1141,0.0517,123.040,0.147,8.425
5.0,0.15,0.3320,0.1115,0.0518,123.040,0.147,8.238
5.8,0.18,0.3780,0.1086,0.0516,123.040,0.147,8.020
6.6,0.21,0.4213,0.1052,0.0513,122.295,0.146,7.775
7.4,0.23,0.4618,0.1016,0.0509,120.803,0.144,7.500
8.3,0.26,0.4996,0.0977,0.0503,119.312,0.143,7.219
9.1,0.28,0.5350,0.0938,0.0495,117.821,0.141,6.930
9.9,0.31,0.5682,0.0897,0.0487,115.583,0.138,6.628
10.7,0.33,0.5984,0.0855,0.0477,113.346,0.135,6.316
11.6,0.36,0.6261,0.0812,0.0466,111.109,0.132,5.996
12.4,0.39,0.6513,0.0767,0.0454,108.126,0.129,5.663
13.2,0.41,0.6740,0.0721,0.0440,104.398,0.125,5.325
14.0,0.44,0.6940,0.0673,0.0423,100.669,0.120,4.969
14.9,0.46,0.7110,0.0623,0.0405,96.195,0.115,4.604
15.7,0.49,0.7254,0.0572,0.0385,91.721,0.109,4.226
16.5,0.51,0.7363,0.0520,0.0363,86.501,0.103,3.839
17.3,0.54,0.7431,0.0466,0.0338,80.536,0.096,3.443
18.2,0.57,0.7444,0.0411,0.0312,73.824,0.089,3.038
19.0,0.59,0.7393,0.0355,0.0284,67.113,0.080,2.620
19.8,0.62,0.7248,0.0298,0.0253,60.402,0.072,2.202
20.7,0.64,0.6937,0.0240,0.0222,52.945,0.063,1.770
21.5,0.67,0.6339,0.0181,0.0190,45.488,0.054,1.334
22.3,0.69,0.5280,0.0121,0.0159,38.031,0.045,0.894
23.2,0.72,0.3418,0.0061,0.0128,30.574,0.036,0.449
24.0,0.75,-0.0003,0.0000,0.0097,23.117,0.028,0.000
