# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0969,0.0427,144.666,0.153,9.061
1.2,0.03,0.0732,0.0969,0.0439,148.394,0.158,9.061
2.4,0.07,0.1425,0.0969,0.0451,152.123,0.162,9.061
3.6,0.10,0.2079,0.0969,0.0463,156.597,0.166,9.057
4.8,0.13,0.2695,0.0968,0.0476,161.071,0.171,9.052
6.0,0.17,0.3272,0.0967,0.0490,165.545,0.176,9.043
7.2,0.20,0.3813,0.0966,0.0504,170.765,0.181,9.034
8.4,0.23,0.4317,0.0964,0.0518,175.239,0.186,9.017
9.6,0.27,0.4787,0.0962,0.0532,180.459,0.191,8.994
10.8,0.30,0.5224,0.0958,0.0547,184.934,0.196,8.959
12.0,0.33,0.5629,0.0953,0.0561,189.408,0.201,8.910
13.2,0.36,0.6006,0.0943,0.0572,193.882,0.205,8.816
14.4,0.40,0.6358,0.0926,0.0579,196.119,0.208,8.661
15.6,0.43,0.6682,0.0902,0.0582,196.865,0.209,8.434
16.8,0.46,0.6978,0.0870,0.0579,196.119,0.208,8.136
18.0,0.50,0.7251,0.0822,0.0563,190.899,0.202,7.687
19.2,0.53,0.7492,0.0771,0.0545,184.188,0.196,7.206
20.4,0.56,0.7703,0.0718,0.0525,177.477,0.189,6.717
21.6,0.60,0.7883,0.0665,0.0503,170.020,0.181,6.214
22.8,0.63,0.8032,0.0610,0.0478,161.817,0.172,5.703
24.0,0.66,0.8154,0.0554,0.0450,152.123,0.162,5.182
25.2,0.70,0.8242,0.0497,0.0420,141.683,0.151,4.648
26.4,0.73,0.8304,0.0439,0.0385,130.497,0.138,4.106
27.6,0.76,0.8336,0.0379,0.0347,117.075,0.125,3.550
28.8,0.80,0.8311,0.0319,0.0305,102.907,0.109,2.980
30.0,0.83,0.8227,0.0257,0.0259,87.247,0.093,2.402
31.2,0.86,0.7968,0.0194,0.0209,70.841,0.075,1.810
32.4,0.89,0.7185,0.0130,0.0161,54.436,0.058,1.210
33.6,0.93,0.5266,0.0065,0.0115,38.776,0.041,0.609
34.8,0.96,-0.0004,0.0000,0.0070,23.862,0.025,0.000
