# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0606,0.0181,85.010,0.074,6.810
0.8,0.02,0.0587,0.0595,0.0182,85.755,0.074,6.690
1.5,0.04,0.1146,0.0583,0.0183,86.501,0.075,6.561
2.3,0.05,0.1676,0.0571,0.0183,86.501,0.075,6.419
3.0,0.07,0.2176,0.0557,0.0184,86.501,0.075,6.268
3.8,0.09,0.2647,0.0542,0.0184,86.501,0.075,6.103
4.5,0.11,0.3087,0.0527,0.0184,86.501,0.075,5.925
5.3,0.13,0.3497,0.0510,0.0183,86.501,0.075,5.734
6.0,0.14,0.3876,0.0492,0.0182,85.755,0.075,5.538
6.8,0.16,0.4224,0.0474,0.0182,85.755,0.074,5.333
7.5,0.18,0.4543,0.0456,0.0180,85.010,0.074,5.129
8.3,0.20,0.4831,0.0437,0.0179,84.264,0.073,4.915
9.0,0.22,0.5089,0.0417,0.0177,83.518,0.072,4.693
9.8,0.23,0.5320,0.0397,0.0174,82.027,0.071,4.466
10.6,0.25,0.5522,0.0376,0.0171,80.536,0.070,4.230
11.3,0.27,0.5700,0.0355,0.0168,79.044,0.069,3.990
12.0,0.29,0.5853,0.0333,0.0163,76.807,0.067,3.745
12.8,0.31,0.5981,0.0310,0.0158,74.570,0.065,3.492
13.5,0.32,0.6086,0.0287,0.0153,71.587,0.062,3.234
14.3,0.34,0.6165,0.0264,0.0146,68.604,0.060,2.967
15.1,0.36,0.6216,0.0240,0.0138,65.622,0.057,2.696
15.8,0.38,0.6235,0.0215,0.0130,61.147,0.053,2.415
16.5,0.40,0.6224,0.0190,0.0120,56.673,0.049,2.135
17.3,0.41,0.6153,0.0164,0.0110,51.453,0.045,1.842
18.1,0.43,0.5990,0.0137,0.0099,46.233,0.040,1.544
18.8,0.45,0.5706,0.0111,0.0087,41.013,0.036,1.246
19.6,0.47,0.5226,0.0084,0.0075,35.048,0.031,0.939
20.3,0.48,0.4407,0.0056,0.0062,29.082,0.025,0.632
21.1,0.50,0.2897,0.0028,0.0049,23.117,0.020,0.316
21.8,0.52,-0.0053,0.0000,0.0036,17.151,0.015,-0.004
