# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0597,0.0238,43.251,0.052,3.550
0.5,0.02,0.0400,0.0591,0.0238,43.251,0.051,3.514
1.0,0.03,0.0794,0.0584,0.0237,43.251,0.051,3.479
1.5,0.05,0.1180,0.0577,0.0236,42.505,0.051,3.434
2.0,0.06,0.1558,0.0569,0.0235,42.505,0.051,3.385
2.5,0.08,0.1926,0.0559,0.0234,42.505,0.051,3.327
3.0,0.10,0.2285,0.0549,0.0232,41.759,0.050,3.265
3.4,0.11,0.2632,0.0537,0.0230,41.759,0.050,3.198
3.9,0.13,0.2967,0.0524,0.0228,41.013,0.049,3.118
4.4,0.14,0.3288,0.0510,0.0225,41.013,0.049,3.034
4.9,0.16,0.3595,0.0494,0.0221,40.268,0.048,2.940
5.4,0.18,0.3886,0.0477,0.0218,39.522,0.047,2.842
5.9,0.19,0.4159,0.0459,0.0213,38.776,0.046,2.731
6.4,0.21,0.4411,0.0438,0.0208,38.031,0.045,2.607
6.9,0.23,0.4639,0.0415,0.0202,36.539,0.044,2.469
7.4,0.24,0.4846,0.0391,0.0195,35.048,0.042,2.326
7.9,0.26,0.5029,0.0366,0.0188,34.302,0.041,2.180
8.4,0.27,0.5185,0.0341,0.0180,32.811,0.039,2.028
8.9,0.29,0.5309,0.0315,0.0172,31.319,0.037,1.873
9.3,0.31,0.5393,0.0288,0.0164,29.828,0.035,1.717
9.8,0.32,0.5439,0.0261,0.0155,28.337,0.033,1.552
10.3,0.34,0.5441,0.0233,0.0145,26.099,0.031,1.388
10.8,0.35,0.5385,0.0205,0.0135,24.608,0.029,1.219
11.3,0.37,0.5254,0.0176,0.0124,22.371,0.027,1.050
11.8,0.39,0.5019,0.0147,0.0113,20.134,0.024,0.872
12.2,0.40,0.4645,0.0118,0.0102,18.642,0.022,0.698
12.7,0.42,0.4080,0.0089,0.0091,16.405,0.020,0.525
13.2,0.43,0.3260,0.0060,0.0079,14.168,0.017,0.356
13.7,0.45,0.2003,0.0030,0.0068,11.931,0.015,0.178
14.2,0.47,-0.0005,0.0000,0.0055,9.694,0.012,0.000
