# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0671,0.0290,22.371,0.035,2.246
0.4,0.02,0.0380,0.0666,0.0289,22.371,0.035,2.229
0.8,0.03,0.0754,0.0661,0.0289,22.371,0.035,2.211
1.1,0.05,0.1123,0.0655,0.0288,22.371,0.035,2.193
1.5,0.07,0.1486,0.0647,0.0287,21.625,0.035,2.166
1.9,0.08,0.1841,0.0639,0.0286,21.625,0.035,2.135
2.3,0.10,0.2188,0.0627,0.0284,21.625,0.035,2.100
2.6,0.12,0.2525,0.0615,0.0281,21.625,0.034,2.055
3.0,0.13,0.2850,0.0599,0.0278,20.880,0.034,2.006
3.4,0.15,0.3160,0.0582,0.0274,20.880,0.033,1.948
3.8,0.17,0.3452,0.0564,0.0269,20.880,0.033,1.886
4.2,0.18,0.3729,0.0542,0.0264,20.134,0.032,1.815
4.5,0.20,0.3987,0.0520,0.0258,19.388,0.031,1.739
4.9,0.21,0.4222,0.0494,0.0251,19.388,0.031,1.655
5.3,0.23,0.4435,0.0468,0.0244,18.642,0.030,1.566
5.7,0.25,0.4627,0.0441,0.0236,17.897,0.029,1.477
6.0,0.26,0.4794,0.0413,0.0227,17.151,0.028,1.383
6.4,0.28,0.4938,0.0385,0.0218,16.405,0.027,1.286
6.8,0.30,0.5056,0.0355,0.0209,15.660,0.025,1.188
7.2,0.31,0.5145,0.0325,0.0198,14.914,0.024,1.090
7.6,0.33,0.5200,0.0295,0.0187,14.168,0.023,0.988
7.9,0.35,0.5214,0.0264,0.0175,13.423,0.021,0.885
8.3,0.36,0.5178,0.0232,0.0163,12.677,0.020,0.778
8.7,0.38,0.5075,0.0200,0.0149,11.185,0.018,0.667
9.1,0.40,0.4872,0.0166,0.0135,10.440,0.016,0.556
9.4,0.41,0.4518,0.0133,0.0122,8.948,0.015,0.445
9.8,0.43,0.3958,0.0101,0.0109,8.203,0.013,0.338
10.2,0.45,0.3126,0.0067,0.0096,7.457,0.012,0.227
10.6,0.46,0.1877,0.0034,0.0083,6.711,0.010,0.111
11.0,0.48,-0.0039,-0.0001,0.0070,5.220,0.009,0.000
