# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1218,0.1260,1828.456,1.091,28.980
1.8,0.03,0.0303,0.1215,0.1212,1757.615,1.049,28.927
3.7,0.06,0.0631,0.1213,0.1162,1685.282,1.006,28.856
5.5,0.09,0.0987,0.1208,0.1110,1609.966,0.961,28.762
7.4,0.12,0.1376,0.1203,0.1057,1533.159,0.915,28.638
9.2,0.15,0.1804,0.1196,0.1002,1454.115,0.868,28.478
11.0,0.18,0.2272,0.1188,0.0948,1375.816,0.821,28.277
12.9,0.21,0.2788,0.1177,0.0893,1295.281,0.773,28.010
14.8,0.24,0.3355,0.1161,0.0837,1213.999,0.724,27.637
16.6,0.27,0.3957,0.1138,0.0782,1134.955,0.677,27.090
18.4,0.30,0.4587,0.1108,0.0730,1059.640,0.632,26.382
20.3,0.33,0.5187,0.1073,0.0688,997.746,0.596,25.546
22.1,0.36,0.5739,0.1034,0.0653,947.785,0.565,24.603
24.0,0.39,0.6233,0.0990,0.0624,904.534,0.540,23.553
25.8,0.42,0.6667,0.0941,0.0597,866.503,0.517,22.397
27.6,0.45,0.7023,0.0885,0.0571,829.218,0.495,21.076
29.5,0.48,0.7298,0.0830,0.0550,797.899,0.476,19.763
31.3,0.51,0.7542,0.0774,0.0527,765.088,0.457,18.429
33.2,0.54,0.7765,0.0717,0.0502,728.549,0.435,17.063
35.0,0.57,0.7964,0.0658,0.0474,688.281,0.411,15.662
36.8,0.60,0.8141,0.0598,0.0444,644.285,0.384,14.234
38.7,0.63,0.8293,0.0536,0.0410,595.814,0.355,12.766
40.5,0.66,0.8417,0.0474,0.0374,542.870,0.324,11.276
42.4,0.69,0.8493,0.0410,0.0335,486.942,0.290,9.755
44.2,0.73,0.8525,0.0345,0.0293,425.049,0.254,8.198
46.0,0.76,0.8455,0.0277,0.0248,359.427,0.214,6.597
47.9,0.79,0.8159,0.0210,0.0202,293.060,0.175,4.991
49.8,0.82,0.7413,0.0141,0.0155,225.201,0.134,3.354
51.6,0.85,0.5577,0.0071,0.0108,155.851,0.093,1.686
53.4,0.88,-0.0071,-0.0001,0.0062,90.975,0.054,-0.013
